
Capability Codes: R - Router, T - Trans-Bridge, B - Source-Route-Bridge
                  S - Switch, H - Host, I - IGMP, r - Repeater,
                  V - VoIP-Phone, D - Remotely-Managed-Device,
                  s - Supports-STP-Dispute


Device-ID             Local Intrfce Hldtme Capability  Platform         Port ID
pN5K09-2(FOC2221R1NV)
                    Eth1/1         156    R S s     N5K-C56128P        Eth1/1        
pN5K09-2(FOC2221R1NV)
                    Eth1/2         156    R S s     N5K-C56128P        Eth1/2        
vdic-hv246h         Eth153/1/2     113    S H       Linux              eth2          
vdic-hv245h         Eth153/1/3     96     S H       Linux              eth2          
vdic-hv244h         Eth153/1/4     113    S H       Linux              eth2          
vdic-hv243h         Eth153/1/5     113    S H       Linux              eth2          
vdic-hv252h         Eth153/1/6     115    S H       Linux              eth2          
vdic-hv251h         Eth153/1/7     115    S H       Linux              eth2          
vdic-hv250h         Eth153/1/8     115    S H       Linux              eth2          
vdic-hv249h         Eth153/1/9     113    S H       Linux              eth2          
vdic-hv248h         Eth153/1/10    96     S H       Linux              eth2          
view-ntnx-101       Eth153/1/11    96     S H       Linux              eth3          
svr-hv2013h         Eth153/1/14    115    S H       Linux              eth2          
svr-hv2014h         Eth153/1/15    115    S H       Linux              eth3          
svr-hv2015h         Eth153/1/16    113    S H       Linux              eth3          
svr-hv2012h         Eth153/1/17    115    S H       Linux              eth2          
svr-hv2016h         Eth153/1/18    96     S H       Linux              eth2          
svr-hv2017h         Eth153/1/19    115    S H       Linux              eth2          
vdic-hv2128h        Eth153/1/20    96     S H       Linux              eth2          
vdic-hv2129h        Eth153/1/21    113    S H       Linux              eth2          
vdic-hv2130h        Eth153/1/22    108    S H       Linux              eth2          
vdic-hv2131h        Eth153/1/23    96     S H       Linux              eth2          
vdic-hv2132h        Eth153/1/24    115    S H       Linux              eth2          
vdic-hv2133h        Eth153/1/25    113    S H       Linux              eth2          
vdic-hv2134h        Eth153/1/26    96     S H       Linux              eth2          
vdic-hv2135h        Eth153/1/27    106    S H       Linux              eth2          
vdic-hv2136h        Eth153/1/28    96     S H       Linux              eth2          
vdic-hv2137h        Eth153/1/29    115    S H       Linux              eth2          
vdic-hv2138h        Eth153/1/30    113    S H       Linux              eth2          
vdic-hv2139h        Eth153/1/31    115    S H       Linux              eth2          
vdic-hv2141h        Eth153/1/33    113    S H       Linux              eth2          
vdic-hv2142h        Eth153/1/34    113    S H       Linux              eth2          
vdic-hv2143h        Eth153/1/35    113    S H       Linux              eth2          
vdic-hv2144h        Eth153/1/36    96     S H       Linux              eth2          
vdic-hv2145h        Eth153/1/37    115    S H       Linux              eth2          
vdic-hv2146h        Eth153/1/38    96     S H       Linux              eth2          
vdic-hv2147h        Eth153/1/39    115    S H       Linux              eth2          
vdic-hv2148h        Eth153/1/40    96     S H       Linux              eth2          
svr-hv2024h         Eth153/1/41    96     S H       Linux              eth3          
vdic-hv2172h        Eth153/1/42    115    S H       Linux              eth4          
vdic-hv2169h        Eth153/1/43    96     S H       Linux              eth4          
vdic-hv2170h        Eth153/1/44    115    S H       Linux              eth4          
vdic-hv2171h        Eth153/1/45    113    S H       Linux              eth4          
