

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 20
Address         Age       MAC Address     Interface
10.8.2.166      00:01:28  80e0.1d88.f041  port-channel5   
10.8.255.41     00:00:08  4055.390d.eb41  port-channel21  
10.8.255.49     00:04:46  4055.390e.1141  Ethernet1/2     
10.8.2.10       00:16:18  881d.fcbb.aec0  Ethernet1/3     
10.8.2.106      00:16:32  002a.1077.e840  Ethernet1/4     
10.8.2.90       00:12:03  0019.a906.1000  Ethernet1/5     
10.8.2.182      00:10:45  94bf.9466.3b04  Ethernet1/6     
10.8.255.90     00:08:00  8478.ac1f.6441  Ethernet1/7     
10.8.255.162    00:11:01  d867.d970.7a41  Ethernet1/8     
10.8.2.74       00:00:52  001f.9e12.2640  Ethernet1/9     
10.8.255.57     00:12:42  d867.d90d.5b41  Ethernet2/2     
10.8.2.110      00:00:22  286f.7f68.a400  Ethernet2/4     
10.8.2.94       00:11:30  0019.a914.e400  Ethernet2/5     
10.8.2.158      00:16:18  d8b1.90dd.2d01  Ethernet2/6     
10.8.255.94     00:08:23  8478.ac1d.ed41  Ethernet2/7     
10.8.255.166    00:06:12  d867.d970.8641  Ethernet2/8     
10.8.2.78       00:05:20  001f.9e43.7400  Ethernet2/9     
10.8.2.126      00:15:52  0017.dfd2.e800  Ethernet2/10    
10.8.255.126    00:06:48  80e0.1d8a.00c1  Ethernet2/11    
10.8.2.174      00:03:11  b4a8.b949.7947  Ethernet2/13    
