
        OSPF Router with ID (10.8.252.1) (Process ID 1 VRF default)

                Router Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum Link Count
10.8.252.1      10.8.252.1      203        0x800001e5 0x069a   54  
10.8.252.2      10.8.252.2      203        0x8000038e 0x666b   54  
10.8.252.3      10.8.252.3      500        0x8002bd8e 0xfbe8   42  
10.8.252.4      10.8.252.4      1660       0x8002e941 0x4cb2   42  
10.8.252.5      10.8.252.5      188        0x800172cd 0x86a2   2   
10.8.252.6      10.8.252.6      995        0x8001806e 0x2f47   2   
10.8.252.7      10.8.252.7      509        0x8000678a 0x2414   7   
10.8.252.8      10.8.252.8      1433       0x8000677c 0x62d0   7   
10.8.252.9      10.8.252.9      1631       0x800147fc 0x5a91   16  
10.8.252.10     10.8.252.10     433        0x80014a90 0xece9   16  
10.8.252.11     10.8.252.11     676        0x8002ebbc 0xff95   8   
10.8.252.12     10.8.252.12     360        0x8002b218 0xf16d   8   
10.8.252.13     10.8.252.13     1244       0x80000f4a 0xea25   7   
10.8.252.14     10.8.252.14     1539       0x80000f5a 0xecff   7   
10.8.252.15     10.8.252.15     345        0x80006ed3 0xae57   7   
10.8.252.16     10.8.252.16     1430       0x80006ecc 0xde1b   7   
10.8.252.23     10.8.252.23     735        0x800065fe 0x5128   5   
10.8.252.24     10.8.252.24     1130       0x8000671a 0x9c75   5   
10.8.252.25     10.8.252.25     1464       0x80003967 0xbecc   2   
10.8.252.26     10.8.252.26     109        0x800294db 0xcfe5   2   
10.8.252.27     10.8.252.27     687        0x800260f2 0xf8fa   2   
10.8.252.28     10.8.252.28     1111       0x8001ef68 0x7774   2   
10.8.252.31     10.8.252.31     432        0x80021839 0x863e   2   
10.8.252.32     10.8.252.32     674        0x80021853 0x6640   2   
10.8.252.36     10.8.252.36     889        0x800128f2 0x275d   5   
10.8.252.37     10.8.252.37     983        0x80012a43 0x61bb   5   
10.8.252.41     10.8.252.41     377        0x8000d363 0x23d0   7   
10.8.252.42     10.8.252.42     1059       0x8000cc50 0xc434   7   
10.8.252.47     10.8.252.47     783        0x8000c8f3 0x8c71   7   
10.8.252.48     10.8.252.48     63         0x8000c9bb 0x1c06   7   
10.8.252.49     10.8.252.49     1592       0x80020686 0xdb95   23  
10.8.252.50     10.8.252.50     1571       0x8002116f 0xbd4b   23  
10.8.252.51     10.8.252.51     449        0x80020544 0x23bd   7   
10.8.252.52     10.8.252.52     1032       0x80021ffb 0x06f5   7   
10.8.252.55     10.8.252.55     1081       0x8000551a 0x90ac   13  
10.8.252.56     10.8.252.56     54         0x8001325a 0xe617   13  
10.8.252.58     10.8.252.58     271        0x8001447d 0x9c92   12  
10.8.252.59     10.8.252.59     217        0x8000a626 0x3ac6   12  
10.8.252.60     10.8.252.60     101        0x8000f1c2 0x101b   5   
10.8.252.61     10.8.252.61     105        0x80006f75 0xb520   5   
10.8.252.62     10.8.252.62     1596       0x80011535 0xc73f   15  
10.8.252.63     10.8.252.63     79         0x8000de9a 0x4043   15  
10.8.252.64     10.8.252.64     664        0x8001459b 0x51fe   7   
10.8.252.65     10.8.252.65     370        0x8000de7f 0xac14   7   
10.8.252.66     10.8.252.66     1973       0x800117ed 0xe77a   5   
10.8.252.67     10.8.252.67     1062       0x8000dad0 0x3b29   39  
10.8.252.68     10.8.252.68     936        0x800003fd 0xf73b   39  
10.8.252.69     10.8.252.69     500        0x8000f849 0xffd1   7   
10.8.252.70     10.8.252.70     498        0x8000f671 0xddba   7   
10.8.252.71     10.8.252.71     498        0x8000db8b 0xbc69   7   
10.8.252.72     10.8.252.72     488        0x8000db8d 0xd43c   7   
10.8.252.73     10.8.252.73     589        0x8000c679 0x1b2d   7   
