CPU utilization for five seconds: 20%/5%; one minute: 14%; five minutes: 10%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
  84 Mwe 4042A6E4            0          1       0 5580/6000   0 cpf_msg_rcvq_pro
  85 Mwe 40434374            0          1       0 5576/6000   0 CHKPT Test clien
  86 Mwe 405F4540          176     246355       0 5488/6000   0 DHCP Snooping   
  87 Mwe 4105E4CC            4          3    1333 5412/6000   0 ARP HA          
  88 Mwe 4176E240            0          1       0 5584/6000   0 IKE HA Mgr      
  89 Mwe 41771EE8            0          1       0 5580/6000   0 IPSEC HA Mgr    
  90 Mwe 424EAA5C        13436     491986      27 5576/6000   0 RF CWAN HA Proce
  91 Mwe 424F6D0C            0          1       0 5584/6000   0 CWAN HA VLAN SYN
  92 Mwe 424F7EE0            0          1       0 5584/6000   0 CWAN IF EVENT HA
  93 Mwe 425027A0            0          1       0 5584/6000   0 CWAN APS HA Proc
  94 Mwe 42504A30            0          1       0 5584/6000   0 CWAN SRP HA Proc
  95 Mwe 425F1B64            0          1       0 5736/6000   0 DHCP Snooping HA
  96 Mwe 4261B91C            0          1       0 2580/3000   0 Inode Table Dest
  97 Mwe 42819B1C            0          1       0 5760/6000   0 FM HA Sync      
  98 Hwe 42889184       122268   29520105       4 4408/6000   0 Heartbeat Proces
  99 Mwe 4290A234            0          3       0 5504/6000   0 Const ICC reques
 100 Mwe 4290AC1C            0          1       0 5572/6000   0 Const ICC event 
 101 Mwe 4290B6C8            0          1       0 5572/6000   0 Const ICC except
 102 Mwe 42918C80            0          1       0 5560/6000   0 ICC Local Reques
 103 Mwe 42912184          300       3220      93 5472/6000   0 ICC Async mcast 
 104 Cwe 4291B898            0          1       0 5564/6000   0 ICC_REQ Debug Pr
 105 Mwe 42915A70            0          1       0 5580/6000   0 ICC FC Process  
 106 Mwe 42916648            0          1       0 5756/6000   0 ICC FC Test Send
 107 Lwe 42916758            0          1       0 5580/6000   0 ICC FC Test Low 
 108 Mwe 4297EC28            0          1       0 5760/6000   0 L3 Manager HA   
 109 Mwe 42ABDF9C            0          1       0 5756/6000   0 FWSM HA Sync    
 110 Mwe 42C67604            0          1       0 5756/6000   0 QoS HA CHKPT    
 111 Mwe 42D8EDA0            0          1       0 5584/6000   0 CWRP SPA TSM HA 
 112 Mwe 42DF689C            0          2       0 8544/9000   0 Switch IP Host T
 113 Hwe 42CAEE8C            0          3       0 8456/9000   0 RPC virtual_mode
 114 Hwe 42CAEE8C            0          3       0 8452/9000   0 RPC vs_sp_print_
