

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
 8497   3162112  985339379   344424448   ffb50430/ffffffff  ecp
 8062   2883584  0           344240128   ffc29480/ffffffff  securityd
 8047   2981888  929510348   343998464   ff8dd400/ffffffff  vshd
 6098   2146304  703510720   343982080   ffbb65f0/ffffffff  licmgr
 8071   1830912  736460665   343945216   ffcae7f0/ffffffff  sksd
 8091   2822144  985452019   343920640   ff86d320/ffffffff  eem_policy_dir
 6156   4882432  704673164   343814144   ffa8e2f0/ffffffff  pltfm_debug
 8043   3325952  1006519641  342994944   ffec83f0/ffffffff  psshelper
 8072   2756608  720181440   342716416   ffee3fc0/ffffffff  snmpmib_proc
 6099   1896448  0           342642688   ff873ae0/ffffffff  fs-daemon
 8065   2404352  983861542   342433792   ffd8cbb0/ffffffff  evmc
 8527   2486272  741559667   342425600   ffbd0400/ffffffff  eth_dstats
 8069   2330624  879158790   342241280   ffb71ee0/ffffffff  mvsh
 8077   2453504  983586700   342224896   ff9b2130/ffffffff  xmpp
 8225   3129344  472988876   342188032   ffcda4d0/ffffffff  dcos-xinetd
 8040   2002944  0           342024192   ff97ba30/ffffffff  confcheck
 8076   1716224  0           341565440   ffaa5f10/ffffffff  xmlma
 8224   2260992  0           341422080   fff8c640/ffffffff  ntpd
 6155   2932736  657499532   332341248   ffe604c0/ffffffff  plugin
 6149   5931008  750223232   281075712   ffa481e0/ffffffff  sysinfo
 8068    348160  0           276267008   ff9eff60/ffffffff  mping_server
 8182    331776  657127398   275398656   ffc04cd0/ffffffff  ip_dummy
 8183    331776  657127398   275398656   ffcf3960/ffffffff  ipv6_dummy
 8188    331776  657127398   275398656   ffa1e790/ffffffff  tcpudp_dummy

All processes: MemAlloc = 1545252864
