Module   Sensor        MajorThresh   MinorThres   CurTemp     Status
                       (Celsius)     (Celsius)    (Celsius)         
--------------------------------------------------------------------
4        MAC1-Buf0(s10)  115             105         26         Ok             
4        MAC1-Buf1(s11)  115             105         37         Ok             
4        MAC1-Buf2(s12)  115             105         28         Ok             
4        MAC1-Buf3(s13)  115             105         23         Ok             
4        Fwd0Sn0(s14)    115             105         61         Ok             
4        Fwd0Sn1(s15)    115             105         61         Ok             
4        Fwd1Sn0(s16)    115             105         52         Ok             
4        Fwd1Sn1(s17)    115             105         52         Ok             
4        Fwd2Sn0(s18)    115             105         57         Ok             
4        Fwd2Sn1(s19)    115             105         57         Ok             
4        Fwd3Sn0(s20)    115             105         41         Ok             
4        Fwd3Sn1(s21)    115             105         41         Ok             
4        QEng0Sn0(s22)   115             105         65         Ok             
4        QEng0Sn1(s23)   115             105         65         Ok             
4        QEng1Sn0(s24)   115             105         60         Ok             
4        QEng1Sn1(s25)   115             105         60         Ok             
4        QEng2Sn0(s26)   115             105         53         Ok             
4        QEng2Sn1(s27)   115             105         53         Ok             
4        QEng3Sn0(s28)   115             105         51         Ok             
4        QEng3Sn1(s29)   115             105         51         Ok             
4        Crossbar(s30)   115             105         39         Ok             
5        Inlet  (s1)     60              42          18         Ok             
5        PMFPGA (s2)     80              60          33         Ok             
5        Crossbar(s3)    105             95          39         Ok             
5        L2L3Dev1(s4)    105             95          27         Ok             
5        Arbiter (s5)    105             95          39         Ok             
5        CPU1CORE1(s6)   85              70          34         Ok             
5        CPU1CORE2(s7)   85              70          30         Ok             
5        CPU1CORE3(s8)   85              70          33         Ok             
5        CPU1CORE4(s9)   85              70          32         Ok             
5        DDR3DIMM1(s14)  95              85          33         Ok             
5        DDR3DIMM2(s15)  95              85          34         Ok             
5        DDR3DIMM3(s16)  95              85          34         Ok             
6        Inlet  (s1)     60              42          19         Ok             
6        PMFPGA (s2)     80              60          33         Ok             
6        Crossbar(s3)    105             95          39         Ok             
6        L2L3Dev1(s4)    105             95          27         Ok             
6        Arbiter (s5)    105             95          40         Ok             
6        CPU1CORE1(s6)   85              70          29         Ok             
6        CPU1CORE2(s7)   85              70          30         Ok             
6        CPU1CORE3(s8)   85              70          28         Ok             
6        CPU1CORE4(s9)   85              70          26         Ok             
6        DDR3DIMM1(s14)  95              85          32         Ok             
