TCB       Local Address               Foreign Address             (state)
7FB929C01F90  0.0.0.0.179                10.8.252.88.*               LISTEN
7FB929C00ED0  0.0.0.0.179                10.8.252.87.*               LISTEN
7FB929BFFE10  0.0.0.0.179                10.8.252.86.*               LISTEN
7FB929BFED50  0.0.0.0.179                10.8.252.85.*               LISTEN
7FB929BFDC90  0.0.0.0.179                10.8.252.84.*               LISTEN
7FB929BFCBD0  0.0.0.0.179                10.8.252.81.*               LISTEN
7FB929BFBB10  0.0.0.0.179                10.8.252.80.*               LISTEN
7FB929BFA0B8  0.0.0.0.179                10.8.252.77.*               LISTEN
7FB929BF7D00  0.0.0.0.179                10.8.252.76.*               LISTEN
7FB929BF6C40  0.0.0.0.179                10.8.252.75.*               LISTEN
7FB929BF5B80  0.0.0.0.179                10.8.252.72.*               LISTEN
7FB929BF4AC0  0.0.0.0.179                10.8.252.71.*               LISTEN
7FB929BF3A00  0.0.0.0.179                10.8.252.70.*               LISTEN
7FB929BF15D0  0.0.0.0.179                10.8.252.69.*               LISTEN
7FB929BEFBD0  0.0.0.0.179                10.8.252.66.*               LISTEN
7FB929BEEB10  0.0.0.0.179                10.8.252.65.*               LISTEN
7FB929BEDA50  0.0.0.0.179                10.8.252.64.*               LISTEN
7FB929BECA20  0.0.0.0.179                10.8.252.61.*               LISTEN
7FB929BEB9F0  0.0.0.0.179                10.8.252.60.*               LISTEN
7FB929BEA930  0.0.0.0.179                10.8.252.59.*               LISTEN
7FB929BE8D68  0.0.0.0.179                10.8.252.58.*               LISTEN
7FB929BE7D38  0.0.0.0.179                10.8.252.56.*               LISTEN
7FB929BE6D08  0.0.0.0.179                10.8.252.55.*               LISTEN
7FB929BE5220  0.0.0.0.179                10.8.252.54.*               LISTEN
7FB929BE4160  0.0.0.0.179                10.8.252.53.*               LISTEN
7FB929BE30A0  0.0.0.0.179                10.8.252.52.*               LISTEN
7FB929BE1FE0  0.0.0.0.179                10.8.252.51.*               LISTEN
7FB929BE0F20  0.0.0.0.179                10.8.252.48.*               LISTEN
7FB929BDFE60  0.0.0.0.179                10.8.252.47.*               LISTEN
7FB929BDEDA0  0.0.0.0.179                10.8.252.42.*               LISTEN
7FB929BDDCE0  0.0.0.0.179                10.8.252.41.*               LISTEN
7FB929BDC4C0  0.0.0.0.179                10.8.252.39.*               LISTEN
7FB929BDA988  0.0.0.0.179                10.8.252.38.*               LISTEN
7FB929BD9958  0.0.0.0.179                10.8.252.37.*               LISTEN
7FB929BD7F58  0.0.0.0.179                10.8.252.36.*               LISTEN
7FB929BD6E98  0.0.0.0.179                10.8.252.32.*               LISTEN
7FB929BD5DD8  0.0.0.0.179                10.8.252.31.*               LISTEN
7FB929BD4D18  0.0.0.0.179                10.8.252.28.*               LISTEN
7FB929BD3230  0.0.0.0.179                10.8.252.27.*               LISTEN
7FB929BD2170  0.0.0.0.179                10.8.252.26.*               LISTEN
7FB929BD10B0  0.0.0.0.179                10.8.252.25.*               LISTEN
7FB929BCFFF0  0.0.0.0.179                10.8.252.18.*               LISTEN
7FB929BCEF30  0.0.0.0.179                10.8.252.17.*               LISTEN
7FB929BCDE70  0.0.0.0.179                10.8.252.16.*               LISTEN
7FB929BCC2A8  0.0.0.0.179                10.8.252.15.*               LISTEN
7FB929BCB1E8  0.0.0.0.179                10.8.252.14.*               LISTEN
7FB929BCA128  0.0.0.0.179                10.8.252.13.*               LISTEN
7FB929BC9068  0.0.0.0.179                10.8.252.12.*               LISTEN
7FB929BC7FA8  0.0.0.0.179                10.8.252.11.*               LISTEN
7FB929BC6EE8  0.0.0.0.179                10.8.252.10.*               LISTEN
7FB929BC5E28  0.0.0.0.179                10.8.252.9.*                LISTEN
7FB929BC4D68  0.0.0.0.179                10.8.252.8.*                LISTEN
7FB929BC3CA8  0.0.0.0.179                10.8.252.7.*                LISTEN
7FB929BC2BE8  0.0.0.0.179                10.8.252.6.*                LISTEN
7FB929BB64C8  0.0.0.0.179                10.8.252.5.*                LISTEN
