


PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1        39191    862719     45   0.00%  init
    2           82      3764     21   0.00%  kthreadd
    3        11522   1643062      7   0.00%  ksoftirqd/0
    5            0         7      7   0.00%  kworker/0:0H
    7      1680845  615388167      2   0.00%  rcu_sched
    8            0         2      0   0.00%  rcu_bh
    9         3380    267538     12   0.00%  migration/0
   10        12363   1069149     11   0.00%  watchdog/0
   11        15395   1069139     14   0.00%  watchdog/1
   12         5302    290912     18   0.00%  migration/1
   13       286397  34305245      8   0.00%  ksoftirqd/1
   15            0         7      5   0.00%  kworker/1:0H
   16        12287   1069139     11   0.00%  watchdog/2
   17         4353    282755     15   0.00%  migration/2
   18        16683   2806119      5   0.00%  ksoftirqd/2
   20            0         7      5   0.00%  kworker/2:0H
   21        10031   1069139      9   0.00%  watchdog/3
   22         3445    274699     12   0.00%  migration/3
   23        15300   1946306      7   0.00%  ksoftirqd/3
   25            0         7      5   0.00%  kworker/3:0H
   26         9419   1069139      8   0.00%  watchdog/4
   27         3127    255713     12   0.00%  migration/4
   28        14040   1538906      9   0.00%  ksoftirqd/4
   30            0         7      5   0.00%  kworker/4:0H
   31         9217   1069139      8   0.00%  watchdog/5
   32         3068    257910     11   0.00%  migration/5
   33        13197   1171567     11   0.00%  ksoftirqd/5
   35            0         7      5   0.00%  kworker/5:0H
   36        11400   1069139     10   0.00%  watchdog/6
   37         8477    853572      9   0.00%  migration/6

        
...skipping 1 line

   40            0         7      5   0.00%  kworker/6:0H
   41        13475   1069139     12   0.00%  watchdog/7
   42         8990    914212      9   0.00%  migration/7
   43         1106    257961      4   0.00%  ksoftirqd/7
   45            0         7      5   0.00%  kworker/7:0H
   46        11305   1069139     10   0.00%  watchdog/8
   47         8580    883166      9   0.00%  migration/8
   48         1161    204256      5   0.00%  ksoftirqd/8
   50            0         7      7   0.00%  kworker/8:0H
   51         8781   1069139      8   0.00%  watchdog/9
   52         8998    927981      9   0.00%  migration/9
   53         1377    175669      7   0.00%  ksoftirqd/9
   55            0         7      7   0.00%  kworker/9:0H
   56         8115   1069139      7   0.00%  watchdog/10
   57         8902    925904      9   0.00%  migration/10
   58         1491    196496      7   0.00%  ksoftirqd/10
   60            0         7      6   0.00%  kworker/10:0H
   61         7893   1069139      7   0.00%  watchdog/11
