


PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
  723        94867   4279607     22   0.00%  plugin
  724        24724    866034     28   0.00%  plog_sup
  725        65935   4277312     15   0.00%  patch-installer
  726           87        27   3231   0.00%  nxapi
  727         9781    285753     34   0.00%  mvsh
  728          242       117   2073   0.00%  mts_mgr
  729           97       100    973   0.00%  mping_server
  730       262542   1416454    185   0.00%  module
  731          244       144   1696   0.00%  kim
  732          217        80   2717   0.00%  issu_helper
  733         9499    285788     33   0.00%  evms
  735          146        81   1806   0.00%  epld_upgrade_stdby
  736      1083515    833247   1300   0.00%  diagclient
  737        76540   1155671     66   0.00%  dhclient
  738        51535    741511     69   0.00%  crdcfg_server
  739          129        99   1306   0.00%  core-dmon
  740          274        97   2827   0.00%  confelem
  741         5244    143288     36   0.00%  clk_mgr
  742        14621    855821     17   0.00%  bios_daemon
  743        14245    536253     26   0.00%  ascii-cfg
  744        82728   4282303     19   0.00%  securityd
  745       129065   4278116     30   0.00%  cert_enroll
  747        98602   4299791     22   0.00%  aaa
  751        11888    535195     22   0.00%  obfl
  753          423       104   4074   0.00%  urib
  754       147286    414631    355   0.00%  aclmgr
  759         7315    214706     34   0.00%  evmc
  774          119       165    724   0.00%  ExceptionLog
  775        49407   2138445     23   0.00%  bootvar
  777      1436735   2218904    647   0.00%  diagmgr
  896          333        56   5957   0.00%  l3vm
  934        38575    856467     45   0.00%  cardclient
  935       203680   5538034     36   0.00%  device_test
  936        52933    736405     71   0.00%  ifmgr
  937        11821    329674     35   0.00%  xbar
  968            8       916      9   0.00%  kworker/10:1H
  994          159        43   3699   0.00%  npacl
  997        14887    426635     34   0.00%  statsclient
 1001           10      1203      8   0.00%  kworker/8:1H
 1026            8       937      9   0.00%  kworker/11:1H
 1029           25       329     78   0.00%  klogd
 1079          231        67   3452   0.00%  adjmgr
 1080          250        68   3682   0.00%  u6rib
 1104         1809     10965    164   0.00%  incrond
 1155          276        51   5416   0.00%  arp
 1156          282        66   4287   0.00%  icmpv6
 1157          191        27   7088   0.00%  pktmgr
 1173          501        97   5167   0.00%  netstack
 1182            1         4    284   0.00%  nginx
 1200       175567   4281171     41   0.00%  radius
 1201        35110    912299     38   0.00%  cdp
 1202        46722    998903     46   0.00%  cfs
 1203           82        70   1172   0.00%  ip_dummy
 1208           81       131    619   0.00%  ipv6_dummy
 1209        30685    858547     35   0.00%  otm
 1210      5476374  39254579    139   0.00%  snmpd
 1211           83       106    785   0.00%  tcpudp_dummy
 1214          307      2174    141   0.00%  dcos-xinetd
 1256       206609   8551247     24   0.00%  nginx
 1257        79554   4278494     18   0.00%  callhome
 1258            8       982      8   0.00%  kworker/9:1H
 1457            0        35      5   0.00%  kworker/10:0
 1851       208267   8551181     24   0.00%  nginx
 1921       208652   8551066     24   0.00%  nginx
 2594            0         2      4   0.00%  kloopd1
 2596            0         2      3   0.00%  kloopd2
 2612            0         2      5   0.00%  kloopd3
 2614            0         2      3   0.00%  kloopd4
 2620            0         2      4   0.00%  kloopd5
 2622            0         2      3   0.00%  kloopd6
 2972        37576    897193     41   0.00%  port-profile
 2981         9083    178780     50   0.00%  vman
 2982        50498    385715    130   0.00%  spm
 2983          353        67   5270   0.00%  rpm
 2985        70043    729107     96   0.00%  pltfm_config
 2986        48051    378943    126   0.00%  plcmgr
 2987       681233   1157921    588   0.00%  pfstat
 2998        67069    512052    130   0.00%  ntp
 2999          106       207    515   0.00%  nbproxy
 3000        34453    877054     39   0.00%  monitor
 3001      2859570   1862181   1535   0.00%  lldp
 3002        33459    874311     38   0.00%  lim
 3003       256080   4185372     61   0.00%  l2rib
 3004        21367    306904     69   0.00%  ipfib
 3005          560       440   1274   0.00%  igmp
 3006        39431    493678     79   0.00%  eth_port_channel
 3007          115        81   1422   0.00%  ecp
 3008         4977    143075     34   0.00%  adbm
 3009        18996    356062     53   0.00%  acllog
 3014       313337   4819526     65   0.00%  tacacs
 3018        20901    455489     45   0.00%  eltm
 3029       363879   6016320     60   0.00%  ntpd
 3038        11192    298101     37   0.00%  eth_dstats
 3039     31648180   7437299   4255   0.00%  ipqosmgr
 3040       190209    725333    262   0.00%  lacp
 3042        30992    440628     70   0.00%  vlan_mgr
 3049        12576    177332     70   0.00%  aclqos
 3050       134201    255259    525   0.00%  diag_port_lb
 3051      4532228  33055401    137   0.00%  ethpm
 3052        21784    446526     48   0.00%  l2fm
 3067       553624  17978055     30   0.00%  stp
 3068        29205    855946     34   0.00%  stripcl
 3091       148772    391081    380   0.00%  copp
 3093        49808    931556     53   0.00%  ufdm
 3094        13817    427915     32   0.00%  u2
 3095        30164    856184     35   0.00%  sal
 3096          356        94   3790   0.00%  mrib
 3097       113422    887509    127   0.00%  mfdm
 3098        30324    857349     35   0.00%  mcm
 3099          306        85   3608   0.00%  m6rib
 3100      1112761   4340736    256   0.00%  l2pt
 3101        39470    856502     46   0.00%  bfd_app
 3102        34790    865147     40   0.00%  bfd
 3103          309        81   3818   0.51%  ospf
 3104         9110    214402     42   0.00%  m2rib
 3172        10598   2137607      4   0.00%  wdpunch_thread
 3249            0         8      6   0.00%  kworker/u24:1
 3623           69       181    383   0.00%  getty
 4178          528     16774     31   0.00%  jbd2/sda4-8
 4179            0         2      3   0.00%  ext4-rsv-conver
 4259        10892    428399     25   0.00%  bloggerd
 4264        93530   4275852     21   0.00%  psshelper
 4265        93858   4275866     21   0.00%  psshelper
 4266        32677   1009204     32   0.00%  plog_lc
 4267        67597   4277306     15   0.00%  patch_installer
 4268        11864    534785     22   0.00%  obfl_lc
 4269         7419    285091     26   0.00%  mvsh
 4270         5523    213914     25   0.00%  evmc
 4271       127413   4419863     28   0.00%  dt_helper
 4272         3501    142600     24   0.00%  diagclient
 4273      4397828  89346127     49   0.00%  crdcfg_server
 4274        14055    427994     32   0.00%  capability
 4275       104379   4276789     24   0.00%  device_test
 4276     34878871   3076984  11335   0.00%  crdclient
 4283      2140926   1828238   1171   0.00%  dc3_sensor
 4284     78287167  362970068    215   0.00%  tahusd
 4472    174723162  1297209188    134   0.00%  bfdc
 4473      1854320  43208177     42   0.00%  fcpc
 4474        86785    715987    121   0.00%  iftmc
 4475       563846  17491768     32   0.00%  nf
 4476        31340    897253     34   0.00%  pixc
 4477       534349   4029997    132   0.00%  port_client
 4478    175114645  210195505    833   0.00%  stats_client
 4479         5430    213819     25   0.00%  vntagc
 4480         7198    114229     63   0.00%  mtm
 4489        91316   1045069     87   0.00%  ipfib
 4490     15185210  231583599     65   0.00%  aclqos
 4491         3992    142586     28   0.00%  ptplc
 4494          124        98   1273   0.00%  fcoelc
 4495         3622    142885     25   0.00%  monc
 4496         9199    356343     25   0.00%  xbar_client
 4787            0         2      3   0.00%  trigger
 5236          180       133   1355   0.00%  dcos_sshd
 5322          162      3070     53   0.00%  dcos_sshd
 5323          360      1052    342   0.00%  vsh.bin
 5767            0         2      4   0.00%  kworker/1:2
 5796            1       292      4   0.00%  kworker/u24:0
 6242            0         2      7   0.00%  kworker/11:2
 6343            1         2    899   0.00%  more
 6344            4         2   2172   0.00%  vsh.bin
 6345           21         3   7099   0.00%  ps
 6638        21162   4508526      4   0.00%  kworker/3:1
 8063           39       663     59   0.00%  jbd2/sda5-8
