

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 19
Address         Age       MAC Address     Interface
10.8.13.10      00:00:33  d867.d96f.05c1  port-channel3   
10.8.13.14      00:00:49  d867.d970.84c1  port-channel4   
10.8.255.169    00:01:17  d867.d970.7a41  port-channel5   
10.8.13.30      00:12:44  d867.d96f.05c3  port-channel9   
10.8.13.34      00:12:02  d867.d970.84c3  port-channel10  
10.8.255.141    00:05:47  4055.390e.1141  port-channel1011
10.8.255.149    00:14:57  d867.d90d.5b41  port-channel1012
10.8.13.54      00:12:40  4400.4d39.f84f  Ethernet3/2     
10.8.255.157    00:06:04  4055.390d.eb41  Ethernet3/3     
10.8.13.94      00:05:28  ac3a.6721.511d  Ethernet3/4     
10.8.13.46      00:06:27  0023.5ed9.30c0  Ethernet3/6     
10.8.13.62      00:13:51  4400.4d39.f7c8  Ethernet4/2     
10.8.255.165    00:06:15  8478.ac09.f6c1  Ethernet4/3     
10.8.13.98      00:02:26  ac3a.6738.6425  Ethernet4/4     
10.8.255.194    00:11:13  d867.d90d.5b41  Ethernet7/2     
10.8.13.74      00:18:05  003a.9c98.48c2  Ethernet7/3     
10.8.255.190    00:07:34  4055.390e.1141  Ethernet8/2     
10.8.13.78      00:16:05  003a.9c98.9042  Ethernet8/3     
10.8.255.173    00:03:44  d867.d970.7a41  port-channel2   
