

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth106/1/20   1       trnk-bndl     Po320
Eth106/1/21   1       trnk-bndl     Po321
Eth106/1/22   1       trnk-bndl     Po322
Eth106/1/23   1       trnk-bndl     Po323
Eth106/1/24   1       trnk-bndl     Po324
Eth106/1/25   1       trnk-bndl     Po325
Eth106/1/26   1       trnk-bndl     Po326
Eth106/1/27   1       trnk-bndl     Po327
Eth106/1/28   1       trnk-bndl     Po328
Eth106/1/29   1       trnk-bndl     Po329
Eth106/1/30   1       trnk-bndl     Po330
Eth108/1/1    1       trnk-bndl     Po331
Eth108/1/2    1       trnk-bndl     Po332
Eth108/1/3    1       trnk-bndl     Po333
Eth108/1/4    1       trunking      --
Eth108/1/5    1       trnk-bndl     Po432
Eth108/1/6    1       trunking      --
Eth108/1/7    1       trnk-bndl     Po337
Eth108/1/8    1       trnk-bndl     Po338
Eth108/1/9    1       trnk-bndl     Po339
Eth108/1/10   1       trnk-bndl     Po340
Eth108/1/11   1       trnk-bndl     Po341
Eth108/1/12   1       trnk-bndl     Po342
Eth108/1/13   1       trnk-bndl     Po343
Eth108/1/14   1       trnk-bndl     Po344
Eth108/1/15   1       trnk-bndl     Po345
Eth108/1/16   1       trnk-bndl     Po346
Eth108/1/17   1       trnk-bndl     Po347
Eth108/1/18   1       trnk-bndl     Po348
Eth108/1/19   1       trnk-bndl     Po349
Eth108/1/20   1       trnk-bndl     Po350
Eth108/1/21   1       trnk-bndl     Po351
Eth108/1/22   1       trnk-bndl     Po352
Eth108/1/23   1       trnk-bndl     Po353
Eth108/1/24   1       trnk-bndl     Po354
Eth108/1/25   1       trnk-bndl     Po355
Eth108/1/26   1       trnk-bndl     Po356
Eth108/1/27   1       trnk-bndl     Po357
Eth108/1/28   1       trnk-bndl     Po358
Eth108/1/29   1       trnk-bndl     Po359
Eth108/1/30   1       trnk-bndl     Po360
Eth108/1/31   1       trnk-bndl     Po434
Eth108/1/32   1       trnk-bndl     Po435
Eth110/1/1    1       trnk-bndl     Po361
Eth110/1/2    1       trnk-bndl     Po362
Eth110/1/3    1       trnk-bndl     Po363
Eth110/1/4    1       trnk-bndl     Po364
Eth110/1/5    1       trnk-bndl     Po365
Eth110/1/6    1       trnk-bndl     Po366
Eth110/1/7    1       trnk-bndl     Po367
Eth110/1/8    1       trnk-bndl     Po368
Eth110/1/9    1       trnk-bndl     Po369
Eth110/1/10   1       trnk-bndl     Po370
Eth110/1/11   1       trnk-bndl     Po371
Eth110/1/12   1       trnk-bndl     Po372
Eth110/1/13   1       trnk-bndl     Po373
Eth110/1/14   1       trnk-bndl     Po374
Eth110/1/15   1       trnk-bndl     Po375
Eth110/1/16   1       trnk-bndl     Po376
Eth110/1/17   1       trnk-bndl     Po377
Eth110/1/18   1       trnk-bndl     Po378
Eth110/1/19   1       trnk-bndl     Po379
Eth110/1/20   1       trnk-bndl     Po380
Eth110/1/21   1       trnk-bndl     Po381
Eth110/1/22   1       trnk-bndl     Po382
Eth110/1/23   1       trnk-bndl     Po383
Eth110/1/24   1       trnk-bndl     Po384
Eth110/1/25   1       trnk-bndl     Po385
Eth110/1/26   1       trnk-bndl     Po386
Eth110/1/27   1       trnk-bndl     Po387
Eth110/1/28   1       trnk-bndl     Po388
Eth110/1/29   1       trnk-bndl     Po389
Eth110/1/30   1       trnk-bndl     Po436
Eth118/1/48   1       trunking      --
Eth120/1/1    1       trunking      --
Eth120/1/2    1       trunking      --

--------------------------------------------------------------------------------
Port          Vlans Allowed on Trunk
--------------------------------------------------------------------------------
Eth1/29       3006
Eth1/30       1-3005,3007-3967,4048-4093
Eth1/31       1-3005,3007-3967,4048-4093
Eth1/32       1-3005,3007-3967,4048-4093
Eth1/33       1-3005,3007-3967,4048-4093
Eth1/34       1-3005,3007-3967,4048-4093
Eth1/35       1-3005,3007-3967,4048-4093
Eth1/36       3006
Eth1/39       3155,3168,3197,3428,3442
Eth1/40       3155,3168,3197,3428,3442
Eth1/41       3155,3168,3197,3428,3442
Eth1/42       3155,3168,3197,3428,3442
Po7           1-3005,3007-3967,4048-4093
Po301         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po302         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po303         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po304         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po305         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po306         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po307         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po308         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po309         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po310         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po311         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po312         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po313         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po314         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po315         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po316         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po317         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po318         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po319         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po320         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po321         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po322         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po323         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po324         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po325         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po326         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po327         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po328         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po329         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po330         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po331         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
Po332         3138,3155,3157,3300-3307,3313,3324-3344,3450-3453,3467
