

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
 3413          306       750    408    0.0%  netstack
 3460      2803406  119077377     23    0.0%  radius
 3464       253821   6628903     38    0.0%  acllog
 3465     12592554  62746462    200    0.0%  cdp
 3466    259523821  2147483647     98    0.0%  cfs
 3467          117        43   2725    0.0%  ecp
 3468          172       270    637    0.0%  igmp
 3469           29      1124     26    0.0%  ip_dummy
 3470           29      1094     26    0.0%  ipv6_dummy
 3471          175      1259    139    0.0%  mrib
 3472       850606  45399777     18    0.0%  otm
 3473          161       919    176    0.0%  rpm
 3474           29      1113     26    0.0%  tcpudp_dummy
 3509         4338     33285    130    0.0%  dcos-xinetd
 3517      8647031  139053259     62    0.0%  tacacs
 3529          170      1276    133    0.0%  mcastfwd
 3573    757340180  117129882   6465    0.0%  afm
 3574       371406  12132407     30    0.0%  m2rib
 3575      1034548  46523710     22    0.0%  monitor
 3576    246444174  1092457102    225    0.0%  stp
 3577       814007  25535446     31    0.0%  eth_port_channel
 3578    123889647  665323612    186    0.0%  vlan_mgr
 3579        76668   1248601     61    0.0%  ptplc
 3580      1015179  10788593     94    0.0%  ipqosmgr
 3581     19974195  312157708     63    0.0%  lacp
 3582    948968555  2147483647    390    0.0%  ethpm
 3584      3281131  54254431     60    0.0%  interface-vlan
 3585     13778092  236680119     58    0.0%  vpc
 3586       500071   7840041     63    0.0%  ntp
 3589    230826792  417934878    552    0.0%  udld
 3593      5780940  244459144     23    0.0%  ntpd
 3732     28438564  2147483647     12    0.0%  fcp_thread_sm/0
 3735        42399   7199406      5    0.0%  wdpunch_thread
 3792            3         3   1169    0.0%  sh
 3796           28        19   1522    0.0%  libvirtd
 3888            0         2      4    0.0%  kauditd
 3904     28243795  2147483647     12    0.0%  fcp_thread_sm/1
 5275            7        27    262    0.0%  getty
14997      1537561  110473372     13    0.0%  vsh
14998      1541374  110491332     13    0.0%  vsh
14999      1525247  110424367     13    0.0%  vsh
15000      1525487  110418596     13    0.0%  vsh
15001      1541934  110484513     13    0.0%  vsh
15002      1537390  110467514     13    0.0%  vsh
15003      1538009  110471979     13    0.0%  vsh
15004      1542136  110471669     13    0.0%  vsh
15005      1558418  110545012     14    0.0%  vsh
15006      1517894  110378857     13    0.0%  vsh
25215          697      8297     84    0.0%  dcos_sshd
25224          363       550    660    0.0%  vsh
25346            2        11    190    0.0%  vsh
25347           51        28   1822    0.0%  ps

CPU util  :   10.5% user,   2.5% kernel,   87.0% idle
Please note that only processes from the requested vdc are shown above
