


PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
26681         7584     91908     82   0.00%  lmgrd
26682        95606    360012    265   0.00%  fs-daemon
26683       680259   2722243    249   0.00%  feature-mgr
26686          195       855    228   0.00%  confcheck
26687        14217    534678     26   0.00%  capability
26688        11019    534738     20   0.00%  bloggerd
26689       131249   5376809     24   0.00%  psshelper_gsvc
26712       284464   3670325     77   0.00%  tams_proc
26725        45890    364272    125   0.00%  clis
26726        28756   1075410     26   0.00%  licmgr
26734        12056     89977    133   0.00%  cisco
26760            1         4    306   0.00%  nginx
26762       389887   3282748    118   0.00%  tamd_proc
26763       260978  10727788     24   0.00%  nginx
26776        55494   1797850     30   0.00%  xmlma
26779        33627   1080222     31   0.00%  vmm
26780        14817    225938     65   0.00%  vman
26781        34115   1080895     31   0.00%  vdc_mgr
26782       127331   1103254    115   0.00%  usbhsd
26783        79310   2692966     29   0.00%  ttyd
26786      1588964   3432117    462   0.00%  sysinfo
26787        14779    549404     26   0.00%  snmpmib_proc
26788          289       284   1019   0.00%  sksd
26792         2726    103117     26   0.00%  res_mgr
26793       109270   5375063     20   0.00%  plugin
26794        29516   1089254     27   0.00%  plog_sup
26797        91671   5354272     17   0.00%  patch-installer
26802          155        71   2183   0.00%  nbproxy
26803        11615    360477     32   0.00%  mvsh
26804           62        79    785   0.00%  mping_server
26805       341479   1886632    180   0.00%  module
26810          254       154   1650   0.00%  kim
26813        11228    360281     31   0.00%  evms
26815          169        97   1742   0.00%  epld_upgrade_stdby
26818      1831419   1462830   1251   0.00%  diagclient
26819       111654   1557137     71   0.00%  dhclient
26822        83169    965510     86   0.00%  crdcfg_server
26823          132       109   1219   0.00%  core-dmon
26824          416       265   1572   0.00%  confelem
26825        73406    388357    189   0.00%  clk_mgr
26828        21311   1071379     19   0.00%  bios_daemon
26829        25553    672844     37   0.00%  ascii-cfg
26832        98401   5357166     18   0.00%  securityd
26835       115876   5373623     21   0.00%  cert_enroll
26836       111982   5376068     20   0.00%  aaa
26855        16770    671208     24   0.00%  obfl
26871       200423    586694    341   0.00%  aclmgr
26875         7473    267791     27   0.00%  evmc
26876          487       219   2227   0.00%  urib
26892       173993   2675863     65   0.00%  klogd
26899          120        82   1466   0.00%  ExceptionLog
26900        57342   2688423     21   0.00%  bootvar
26904      2226262   3324794    669   0.00%  diagmgr
26905        71624    904138     79   0.00%  ifmgr
26910       260593  10727722     24   0.00%  nginx
26965          410       213   1926   0.00%  l3vm
27013        52398   1088104     48   0.00%  cardclient
27014       321846   6889152     46   0.00%  device_test
27015        13639    415237     32   0.00%  xbar
27079        17161    532515     32   0.00%  statsclient
27111          155        50   3102   0.00%  npacl
27179          395        82   4817   0.00%  adjmgr
27189          283        67   4227   0.00%  u6rib
27190          704      4544    155   0.00%  incrond
27194       262874  10727367     24   0.00%  nginx
27222          389        56   6961   0.00%  arp
27223          351        52   6756   0.00%  icmpv6
27224          133        35   3801   0.00%  pktmgr
27244          542        63   8616   0.00%  netstack
27282       211527   5400101     39   0.00%  radius
27283       360388   1738115    207   0.00%  cdp
27284        55416   1265347     43   0.00%  cfs
27285           24        53    461   0.00%  ip_dummy
27288           28        56    510   0.00%  ipv6_dummy
27289        35053   1081525     32   0.00%  otm
27290      4613658  28358319    162   0.00%  snmpd
27291           25        52    487   0.00%  tcpudp_dummy
27316          136       958    142   0.00%  dcos-xinetd
27365       106379   5356524     19   0.00%  callhome
27917            3       468      7   0.00%  flush-8:0
28092      3872599   2610594   1483   0.00%  thirdpartyapps
28549        39757   1092078     36   0.00%  port-profile
28603        76985    550007    139   0.00%  spm
28606          529       138   3834   0.00%  rpm
28611        86341    920415     93   0.00%  pltfm_config
28612        74717    551079    135   0.00%  plcmgr
28615      1462339   1972376    741   0.00%  pfstat
28630        31081    375264     82   0.00%  ntp
28635        39280   1087684     36   0.00%  monitor
28638       950108   1203818    789   0.00%  lldp
28639        39437   1101319     35   0.00%  lim
28640       350424   5321312     65   0.00%  l2rib
28643        21061    363604     57   0.00%  ipfib
28646          748       313   2390   0.00%  igmp
28653        20327    557460     36   0.00%  eth_port_channel
28656          126        43   2947   0.00%  ecp
28661         5330    178554     29   0.00%  adbm
28662        24272    452072     53   0.00%  acllog
28689       287950   5761519     49   0.00%  tacacs
28722       358760   6735746     53   0.00%  ntpd
28770        16084    535568     30   0.00%  eltm
28781        14637    362634     40   0.00%  eth_dstats
28782     11178692  12742910    877   0.00%  ipqosmgr
28783       322798   1272504    253   0.00%  lacp
28794        41352    554680     74   0.00%  vlan_mgr
28795        16137    226500     71   0.00%  aclqos
28800       229598    570251    402   0.00%  diag_port_lb
28801      2802729  20443688    137   0.00%  ethpm
28802       108742    603815    180   0.00%  l2fm
28817      3387661  25943610    130   0.00%  stp
28820        34668   1081020     32   0.00%  stripcl
28876       248004    625780    396   0.00%  copp
28910         8740    268380     32   0.00%  vpc
28911        54855   1134494     48   0.00%  ufdm
28912        14161    534529     26   0.00%  u2
28913        35254   1081068     32   0.00%  sal
28916          588       150   3921   0.00%  mrib
28917        78139    788582     99   0.00%  mfdm
28918        35960   1080518     33   0.00%  mcm
