TCB       Local Address               Foreign Address             (state)
24768244  10.255.255.142.35832       10.128.128.11.49            TIMEWAIT
151E3348  10.255.255.142.62588       10.128.128.11.49            TIMEWAIT
23B824A4  10.255.255.142.179         10.255.255.160.41511        ESTAB
151F8654  10.255.255.142.29765       10.128.128.11.49            TIMEWAIT
14606BF4  10.255.255.142.34159       10.255.255.141.646          ESTAB
14908C04  10.255.255.142.179         10.255.255.133.61785        ESTAB
247A7D6C  10.255.255.142.38701       10.128.128.11.49            TIMEWAIT
2475E2F8  10.255.255.142.22          10.64.0.111.49084           ESTAB
247895FC  10.255.255.142.44495       10.255.255.131.646          ESTAB
24787998  10.255.255.142.646         10.255.255.145.52801        ESTAB
247A966C  10.255.255.142.46219       10.128.128.11.49            TIMEWAIT
247A7638  10.255.255.142.62224       10.128.128.11.49            TIMEWAIT
151E3A7C  10.255.255.142.55211       10.128.128.11.49            TIMEWAIT
230BFFF8  0.0.0.0.179                10.255.255.160.*            LISTEN
230BF130  0.0.0.0.179                10.255.255.133.*            LISTEN
