Legend: * - primary entry
        age - seconds since last seen
        n/a - not available

  vlan   mac address     type    learn     age              ports
------+----------------+--------+-----+----------+--------------------------
  3648  a261.1e00.0061   dynamic  Yes        200   Po30
  3653  0000.5e00.0125   dynamic  Yes        200   Po10
  3648  a261.1e00.0060   dynamic  Yes        200   Po10
  3652  0000.5e00.0124   dynamic  Yes        200   Po10
  3357  a261.1e00.0035   dynamic  Yes        360   Po30
  3649  a261.1e00.0063   dynamic  Yes        200   Po30
  3655  0000.5e00.0127   dynamic  Yes        200   Po10
  3357  a261.1e00.0034   dynamic  Yes        200   Po10
  3649  a261.1e00.0062   dynamic  Yes        200   Po10
  3654  0000.5e00.0126   dynamic  Yes        200   Po10
  3654  a261.1e00.0065   dynamic  Yes        200   Po30
  3356  a261.1e00.0033   dynamic  Yes        360   Po30
  3654  a261.1e00.0064   dynamic  Yes        360   Po10
  3356  a261.1e00.0032   dynamic  Yes        200   Po10
  3655  a261.1e00.0067   dynamic  Yes        200   Po30
  3358  a261.1e00.0031   dynamic  Yes        360   Po30
  3649  0000.5e00.0123   dynamic  Yes        200   Po10
   917  0013.5f22.e0c0   dynamic  Yes        250   Po10
  3655  a261.1e00.0066   dynamic  Yes        200   Po10
  3358  a261.1e00.0030   dynamic  Yes        200   Po10
  3648  0000.5e00.0122   dynamic  Yes        200   Po10
  3235  a261.1e00.0036   dynamic  Yes        200   Po10
  3652  a261.1e00.0069   dynamic  Yes        200   Po30
  3652  a261.1e00.0068   dynamic  Yes        200   Po10
  3355  a261.1e00.003d   dynamic  Yes        360   Po30
  3653  a261.1e00.006b   dynamic  Yes        360   Po30
  3355  a261.1e00.003c   dynamic  Yes        200   Po10
  3653  a261.1e00.006a   dynamic  Yes        200   Po10
  3651  0000.5e00.0129   dynamic  Yes        200   Po10
  3650  a261.1e00.006d   dynamic  Yes        200   Po30
  3354  a261.1e00.003b   dynamic  Yes        360   Po30
  3650  0000.5e00.0128   dynamic  Yes        200   Po10
  3650  a261.1e00.006c   dynamic  Yes        200   Po10
