
Neighbor ID     Pri   State           Dead Time   Address         Interface
10.132.248.169    1   FULL/BDR        00:00:33    10.132.248.177  Vlan3355
10.133.255.9      1   FULL/DR         00:00:31    10.132.248.180  Vlan3355
10.132.248.161    1   FULL/BDR        00:00:34    10.132.248.153  Vlan3352
10.132.255.130    1   FULL/DR         00:00:38    10.132.248.156  Vlan3352
10.255.255.145    1   FULL/DR         00:00:35    10.255.255.10   TenGigabitEthernet2/6
10.255.255.131    1   FULL/BDR        00:00:33    10.255.254.185  TenGigabitEthernet4/2
10.255.255.141    1   FULL/BDR        00:00:33    10.255.254.181  TenGigabitEthernet4/1
10.132.248.57     1   FULL/BDR        00:00:34    10.194.254.41   Vlan3654
10.194.255.2      1   FULL/DR         00:00:37    10.194.254.44   Vlan3654
10.148.0.18       1   FULL/DR         00:00:35    10.132.253.98   Vlan3426
10.172.255.100    1   FULL/BDR        00:00:36    10.132.253.100  Vlan3426
