

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
 6376       611590   2482305      0   0.00%  l2pt
 6401         6980    152852      0   0.00%  m2rib
 6686          130       109      0   0.00%  dcos_sshd
 6736           30       686      0   0.00%  dcos_sshd
 6737          240       405      0   0.00%  vsh.bin
 7053            0         2      0   0.00%  sleep
 7096         9110    277050      0   0.00%  bloggerd
 7574        55350   2450516      0   0.00%  psshelper
 7575        54500   2450423      0   0.00%  psshelper
 7576        21560    674744      0   0.00%  plog_lc
 7577        40000   2451494      0   0.00%  patch_installer
 7578         7020    306743      0   0.00%  obfl_lc
 7579         4640    200603      0   0.00%  mvsh
 7580         3520    147627      0   0.00%  evmc
 7581        74120   2532759      0   0.00%  dt_helper
 7582       274590    262024      0   0.00%  diagclient
 7583      5733400  110120157      0   0.00%  crdcfg_server
 7584         8010    245321      0   0.00%  capability
 7590        84990   2639341      0   0.00%  device_test
 7591     20067840   1464325      0   0.00%  crdclient
 7594      1102620   1006853      0   0.00%  dc3_sensor
 7595     65259770  262958476      0   1.04%  tahusd
 7597         1230        69      0   0.00%  nxpython
 7624       322210   2441133      0   0.00%  nxpython
 7625       309940   2337801      0   0.00%  nxpython
 8312        93860   2639059      0   0.00%  bfdc
 8313      1124430  24940574      0   0.00%  fcpc
 8314        46430    369904      0   0.00%  iftmc
 8316        13240    560090      0   0.00%  pixc
 8317        81120    899001      0   0.00%  port_client
 8318    113326010  237995475      0   0.00%  stats_client
 8319         3580    147586      0   0.00%  vntagc
 8320          270        79      0   0.00%  zonelc
 8322       465160   1230975      0   0.00%  mtm
 8325        55090    645807      0   0.00%  ipfib
 8326     17883780  181102291      0   0.00%  aclqos
 8327          170        32      0   0.00%  fib
 8328         3560    163232      0   0.00%  ptplc
 8329        26320    259354      0   0.00%  tun_enc_lc
 8334          120        68      0   0.00%  fcoelc
 8335         3570    107386      0   0.00%  monc
 8336       307920  10021462      0   0.00%  nf
 8337         5820    250978      0   0.00%  xbar_client
12275           70        17      0   0.00%  swtele
17285            0        36      0   0.00%  portmap
17828            0         1      0   0.00%  rpc.mountd
17835            0         6      0   0.00%  rpc.statd
20078           80       127      0   0.00%  getty
20188       272030    741532      0   0.00%  swmoni.sh
20413            0         1      0   0.00%  sshd
21290            0         2      0   0.00%  mcelog
23384            0        12      0   0.00%  libvirtd_mon.sh
23385            0         9      0   0.00%  sh
23386       439530   6772126      0   0.00%  sysmgr
23387       219340   4958677      0   0.00%  sysmgr
23449          230       200      0   0.00%  libvirtd
24384            0         2      0   0.00%  inotifywait
28566       133660   2864019      0   0.00%  tacacs
28570      3131400   3026091      0   0.00%  udld
28578        25650    362092      0   0.00%  interface-vlan
28596      3227030   3607520      0   0.51%  lacp
28601       431740   4421207      0   0.00%  vpc
28609      3099320   1239770      0   0.00%  lldp
30683            0         3      0   0.00%  klogd

CPU util  :    0.91% user,    1.33% kernel,   97.74% idle

CPU utilization for five seconds: 6%/0%; one minute: 4%; five minutes: 3%
 Please note that only processes from the requested vdc are shown above
