
Fri Oct  2 00:22:13.737 MSK

-------------------------------------------------------------------------------
0/0/CPU0
-------------------------------------------------------------------------------
Address         Age        Hardware Addr   State      Type  Interface
10.255.254.93   -          00c1.6444.ce01  Interface  ARPA  TenGigE0/0/0/1
10.255.254.94   00:09:16   003a.9c98.9142  Dynamic    ARPA  TenGigE0/0/0/1
10.255.254.205  02:48:11   00c1.647e.affc  Dynamic    ARPA  Bundle-Ether1
10.255.254.206  -          00a7.4206.468c  Interface  ARPA  Bundle-Ether1
10.255.255.9    00:08:36   588d.09bf.1340  Dynamic    ARPA  TenGigE0/0/0/0
10.255.255.10   -          00c1.6444.ce00  Interface  ARPA  TenGigE0/0/0/0
10.255.255.73   -          00a7.4206.4690  Interface  ARPA  Bundle-Ether7
10.255.255.74   01:53:53   0026.0b28.c340  Dynamic    ARPA  Bundle-Ether7
