
Fri Oct  2 00:22:33.969 MSK
   PCB     VRF-ID     Recv-Q Send-Q Local Address          Foreign Address        State
0x121755b8 0x60000000      0      0  :::22                  :::0                   LISTEN
0x12184bf8 0x60000002      0      0  :::22                  :::0                   LISTEN
0x121682cc 0x00000000      0      0  :::22                  :::0                   LISTEN
0x12184980 0x60000000      0      0  :::4082                :::0                   LISTEN
0x12180eec 0x00000000      0      0  :::4082                :::0                   LISTEN
0x1217cf90 0x60000000      0      0  :::4083                :::0                   LISTEN
0x121794fc 0x00000000      0      0  :::4083                :::0                   LISTEN
0x121a8b7c 0x60000000      0      0  :::179                 :::0                   LISTEN
0x121b47e0 0x60000003      0      0  :::179                 :::0                   LISTEN
0x121b9224 0x60000004      0      0  :::179                 :::0                   LISTEN
0x121b95c4 0x60000005      0      0  :::179                 :::0                   LISTEN
0x121b9964 0x60000006      0      0  :::179                 :::0                   LISTEN
0x121b9d04 0x60000007      0      0  :::179                 :::0                   LISTEN
0x121ba0a4 0x60000008      0      0  :::179                 :::0                   LISTEN
0x121ba274 0x60000009      0      0  :::179                 :::0                   LISTEN
0x121b64ec 0x6000000a      0      0  :::179                 :::0                   LISTEN
0x121bf0bc 0x6000000b      0      0  :::179                 :::0                   LISTEN
0x121d73c0 0x6000000c      0      0  :::179                 :::0                   LISTEN
0x121b6d70 0x6000000e      0      0  :::179                 :::0                   LISTEN
0x121b7110 0x6000000f      0      0  :::179                 :::0                   LISTEN
0x121b74b0 0x60000010      0      0  :::179                 :::0                   LISTEN
0x1219feb0 0x60000011      0      0  :::179                 :::0                   LISTEN
0x1218a698 0x60000012      0      0  :::179                 :::0                   LISTEN
0x121a8d4c 0x60000013      0      0  :::179                 :::0                   LISTEN
0x121d78a0 0x60000014      0      0  :::179                 :::0                   LISTEN
0x121c0524 0x60000015      0      0  :::179                 :::0                   LISTEN
0x121d5d34 0x60000016      0      0  :::179                 :::0                   LISTEN
0x121d6224 0x60000017      0      0  :::179                 :::0                   LISTEN
0x121bc610 0x60000019      0      0  :::179                 :::0                   LISTEN
0x121bcba8 0x6000001a      0      0  :::179                 :::0                   LISTEN
0x121f3690 0x6000001b      0      0  :::179                 :::0                   LISTEN
0x1220fe8c 0x6000001c      0      0  :::179                 :::0                   LISTEN
0x1220d864 0x6000001d      0      0  :::179                 :::0                   LISTEN
0x1220e054 0x6000001e      0      0  :::179                 :::0                   LISTEN
0x1222142c 0x6000001f      0      0  :::179                 :::0                   LISTEN
0x122217cc 0x60000020      0      0  :::179                 :::0                   LISTEN
0x122288c0 0x60000021      0      0  :::179                 :::0                   LISTEN
0x12235964 0x60000022      0      0  :::179                 :::0                   LISTEN
0x12230a2c 0x60000023      0      0  :::179                 :::0                   LISTEN
0x122356d8 0x60000024      0      0  :::179                 :::0                   LISTEN
0x12221b94 0x60000025      0      0  :::179                 :::0                   LISTEN
0x122547f8 0x60000026      0      0  :::179                 :::0                   LISTEN
0x122352b0 0x60000027      0      0  :::179                 :::0                   LISTEN
0x121dcb8c 0x60000028      0      0  :::179                 :::0                   LISTEN
0x122443c0 0x60000029      0      0  :::179                 :::0                   LISTEN
0x12244fa0 0x6000002a      0      0  :::179                 :::0                   LISTEN
0x12245940 0x6000002b      0      0  :::179                 :::0                   LISTEN
0x121d6ff8 0x6000002c      0      0  :::179                 :::0                   LISTEN
0x121f6b98 0x6000002f      0      0  :::179                 :::0                   LISTEN
0x121f71b8 0x60000030      0      0  :::179                 :::0                   LISTEN
0x12274d80 0x60000031      0      0  :::179                 :::0                   LISTEN
0x122746d8 0x60000032      0      0  :::179                 :::0                   LISTEN
0x1227252c 0x60000033      0      0  :::179                 :::0                   LISTEN
0x12272f80 0x60000034      0      0  :::179                 :::0                   LISTEN
0x1228599c 0x60000035      0      0  :::179                 :::0                   LISTEN
0x121f5750 0x60000036      0      0  :::179                 :::0                   LISTEN
0x121f65f4 0x60000037      0      0  :::179                 :::0                   LISTEN
0x121a53f4 0x00000000      0      0  :::179                 :::0                   LISTEN
0x12188d34 0x60000000      0      0  :::0                   :::0                   CLOSED
0x12188680 0x00000000      0      0  :::0                   :::0                   CLOSED
0x121f7388 0x6000001b      0      0  10.193.255.25:56229    10.193.255.26:179      ESTAB
0x12235b34 0x6000002c      0      0  10.255.128.25:35108    10.255.128.26:179      ESTAB
0x1225c444 0x60000017      0      0  10.172.255.65:179      10.172.255.66:29593    ESTAB
0x1218ccb8 0x60000000      0   2700  10.255.255.145:22      10.64.0.111:56044      ESTAB
0x12230d24 0x60000004      0      0  10.144.250.229:179     10.144.250.230:58537   ESTAB
0x12254bc0 0x60000026      0      0  10.67.251.105:179      10.67.251.106:39989    ESTAB
0x1225b894 0x60000004      0      0  10.144.192.1:179       10.144.192.2:29346     ESTAB
0x1219fce0 0x60000000      0      0  10.255.255.145:646     10.255.255.149:39134   ESTAB
0x12210e14 0x6000001a      0      0  10.106.169.41:179      10.106.169.42:24735    ESTAB
0x12273348 0x60000034      0      0  10.210.79.21:179       10.210.79.22:35869     ESTAB
0x121be5ac 0x60000013      0      0  10.67.251.41:179       10.67.251.42:27983     ESTAB
0x1223063c 0x60000008      0      0  172.16.103.129:179     172.16.103.130:28949   ESTAB
0x121d4234 0x60000016      0      0  10.99.128.25:47981     10.99.128.26:179       ESTAB
0x121bf4e4 0x6000000b      0      0  10.194.255.77:179      10.194.255.78:40024    ESTAB
0x1220c7c0 0x60000012      0      0  10.208.255.10:179      10.208.255.9:29912     ESTAB
0x122021f8 0x60000021      0      0  10.67.251.57:179       10.67.251.58:30099     ESTAB
0x122386b8 0x60000021      0      0  10.67.251.53:179       10.67.251.54:36277     ESTAB
0x12236ba4 0x60000025      0      0  10.67.251.93:179       10.67.251.94:42366     ESTAB
0x121bad54 0x60000027      0      0  10.67.251.137:179      10.67.251.138:29989    ESTAB
0x122382cc 0x6000001b      0      0  10.193.255.225:179     10.193.255.226:54224   ESTAB
0x1225e83c 0x60000019      0      0  10.192.144.153:179     10.192.144.154:29309   ESTAB
0x12193e64 0x60000000      0      0  10.255.255.145:37503   10.255.255.144:646     ESTAB
0x121f5b18 0x60000036      0      0  10.67.49.22:179        10.67.49.21:27340      ESTAB
0x121f305c 0x60000003      0      0  10.150.253.25:179      10.150.253.26:29264    ESTAB
0x12293698 0x60000002      0      0  10.128.254.244:20039   10.128.128.11:49       TIMEWAIT
0x12202620 0x60000029      0      0  10.203.103.17:179      10.203.103.18:30218    ESTAB
0x121bbbf0 0x60000016      0      0  10.99.128.2:56613      10.99.128.1:179        ESTAB
0x1218bbd0 0x60000014      0      0  10.67.49.5:179         10.67.49.6:33656       ESTAB
0x121b8a58 0x60000000      0      0  10.255.255.145:179     10.255.255.133:50440   ESTAB
0x121ba7d4 0x60000006      0      0  172.16.239.6:179       172.16.239.5:29682     ESTAB
0x121d5264 0x6000001c      0      0  10.192.106.1:55430     10.192.106.2:179       ESTAB
0x12286248 0x60000037      0      0  10.92.255.241:179      10.92.255.242:11755    ESTAB
0x121dc634 0x60000006      0      0  172.16.239.25:179      172.16.239.26:58494    ESTAB
0x121ddbf4 0x60000007      0      0  172.16.63.1:31932      172.16.63.2:179        ESTAB
0x12243500 0x60000013      0      0  10.86.255.1:179        10.86.255.2:28821      ESTAB
0x12221ea8 0x60000020      0      0  10.192.254.233:179     10.192.254.234:22514   ESTAB
0x1220e41c 0x60000007      0      0  172.16.62.9:179        172.16.62.10:16179     ESTAB
0x122453c8 0x60000029      0      0  10.203.103.9:179       10.203.103.10:59310    ESTAB
0x1220c1a0 0x6000000c      0      0  10.194.255.209:179     10.194.255.210:30347   ESTAB
0x122726fc 0x6000001a      0      0  10.106.140.17:179      10.106.140.18:26302    ESTAB
0x121acb50 0x60000000      0      0  10.255.255.145:20214   10.255.255.160:179     ESTAB
0x1225409c 0x60000034      0      0  10.210.79.1:179        10.210.79.2:4211       ESTAB
0x1225e5a8 0x6000002f      0      0  10.77.147.209:179      10.77.147.210:30752    ESTAB
0x1227ead8 0x60000035      0      0  10.67.250.25:179       10.67.250.26:39880     ESTAB
0x122872c4 0x60000000      0      0  10.255.255.145:52801   10.255.255.142:646     ESTAB
0x121f3ba8 0x6000001d      0      0  10.192.105.161:40022   10.192.105.162:179     ESTAB
0x1225dbac 0x6000002c      0      0  10.255.128.29:179      10.255.128.30:30595    ESTAB
0x1222fa38 0x6000001c      0      0  10.192.111.9:179       10.192.111.10:19008    ESTAB
0x1220ea3c 0x60000008      0      0  172.16.98.253:179      172.16.98.254:16332    ESTAB
0x12293f44 0x60000002      0      0  10.128.254.244:27312   10.128.128.11:49       TIMEWAIT
0x12210508 0x60000000      0      0  10.255.255.145:646     10.255.255.147:34662   ESTAB
0x12253cfc 0x60000027      0      0  10.67.251.133:179      10.67.251.134:58020    ESTAB
0x1220dc2c 0x6000001d      0      0  10.192.249.5:179       10.192.249.6:59157     ESTAB
0x121f61cc 0x60000002      0      0  10.128.254.244:15191   10.128.128.11:49       TIMEWAIT
0x121bd654 0x60000003      0      0  10.192.251.241:47491   10.192.251.242:179     ESTAB
0x122869b8 0x60000002      0      0  10.128.254.244:15263   10.128.128.11:49       TIMEWAIT
0x12253ecc 0x6000002b      0      0  172.31.5.14:23747      172.31.5.13:179        ESTAB
0x121686f4 0x60000000      0      0  0.0.0.0:22             0.0.0.0:0              LISTEN
0x12184ed8 0x60000002      0      0  0.0.0.0:22             0.0.0.0:0              LISTEN
0x1216e0fc 0x00000000      0      0  0.0.0.0:22             0.0.0.0:0              LISTEN
0x1216d5dc 0x60000000      0      0  0.0.0.0:23             0.0.0.0:0              LISTEN
0x12168990 0x60000002      0      0  0.0.0.0:23             0.0.0.0:0              LISTEN
0x12164700 0x00000000      0      0  0.0.0.0:23             0.0.0.0:0              LISTEN
0x121882b8 0x60000000      0      0  0.0.0.0:646            0.0.0.0:0              LISTEN
0x1218c604 0x00000000      0      0  0.0.0.0:646            0.0.0.0:0              LISTEN
0x121847b0 0x60000000      0      0  0.0.0.0:4082           0.0.0.0:0              LISTEN
0x1217d430 0x00000000      0      0  0.0.0.0:4082           0.0.0.0:0              LISTEN
0x1217cdc0 0x60000000      0      0  0.0.0.0:4083           0.0.0.0:0              LISTEN
0x12175a40 0x00000000      0      0  0.0.0.0:4083           0.0.0.0:0              LISTEN
