
Tue Oct 13 20:14:45.991 MSK

               Intf       Intf        LineP              Encap  MTU        BW
               Name       State       State               Type (byte)    (Kbps)
--------------------------------------------------------------------------------
     Te0/0/0/2.3480          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3482          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3484          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3486          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3492          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3496          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3616          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3754          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3762          up          up             802.1Q  9220   10000000
          Te0/0/0/3          up          up               ARPA  9216   10000000
          Te0/0/0/4          up          up               ARPA  9220   10000000
          Te0/0/0/5          up          up               ARPA  9220   10000000
          Te0/0/0/6          up          up               ARPA  9216   10000000
          Te0/0/0/7          up          up               ARPA  9174   10000000
          Te0/0/1/0          up          up               ARPA  9220   10000000
          Te0/0/1/1          up          up               ARPA  9220   10000000
          Te0/0/1/2          up          up               ARPA  9216   10000000
          Te0/0/1/3          up          up               ARPA  9174   10000000
          Te0/0/1/4          up          up               ARPA  9216   10000000
          Te0/0/1/5          up          up               ARPA  9174   10000000
          Te0/0/1/6          up          up               ARPA  9220   10000000
          Te0/0/1/7          up          up               ARPA  9216   10000000

