
Fri Oct  2 00:22:34.285 MSK
   PCB     VRF-ID     Recv-Q Send-Q  Local Address          Foreign Address
0x1210c1f4 0x60000000      0      0  :::123                 :::0                  
0x120fc7a4 0x60000002      0      0  :::123                 :::0                  
0x1208ba14 0x00000000      0      0  :::123                 :::0                  
0x120f5c00 0x60000000      0      0  :::161                 :::0                  
0x120f5dd0 0x60000001      0      0  :::161                 :::0                  
0x120f7068 0x60000002      0      0  :::161                 :::0                  
0x120ffd78 0x60000003      0      0  :::161                 :::0                  
0x120ff1b0 0x60000004      0      0  :::161                 :::0                  
0x12100024 0x60000005      0      0  :::161                 :::0                  
0x12100654 0x60000006      0      0  :::161                 :::0                  
0x12100f14 0x60000007      0      0  :::161                 :::0                  
0x121017d4 0x60000008      0      0  :::161                 :::0                  
0x12103bf4 0x60000009      0      0  :::161                 :::0                  
0x120fe768 0x6000000a      0      0  :::161                 :::0                  
0x12101c94 0x6000000b      0      0  :::161                 :::0                  
0x121023d4 0x6000000c      0      0  :::161                 :::0                  
0x12104714 0x6000000d      0      0  :::161                 :::0                  
0x12104fd4 0x6000000e      0      0  :::161                 :::0                  
0x12105894 0x6000000f      0      0  :::161                 :::0                  
0x12106154 0x60000010      0      0  :::161                 :::0                  
0x12107a24 0x60000011      0      0  :::161                 :::0                  
0x12106784 0x60000012      0      0  :::161                 :::0                  
0x12106f84 0x60000013      0      0  :::161                 :::0                  
0x12108484 0x60000014      0      0  :::161                 :::0                  
0x12108b74 0x60000015      0      0  :::161                 :::0                  
0x12109434 0x60000016      0      0  :::161                 :::0                  
0x12109cf4 0x60000017      0      0  :::161                 :::0                  
0x1210a324 0x60000019      0      0  :::161                 :::0                  
0x1210ad04 0x6000001a      0      0  :::161                 :::0                  
0x1210b5c4 0x6000001b      0      0  :::161                 :::0                  
0x1210c594 0x6000001c      0      0  :::161                 :::0                  
0x1210ce54 0x6000001d      0      0  :::161                 :::0                  
0x1210e3dc 0x6000001e      0      0  :::161                 :::0                  
0x1210e94c 0x6000001f      0      0  :::161                 :::0                  
0x1210f6ac 0x60000020      0      0  :::161                 :::0                  
0x12110024 0x60000021      0      0  :::161                 :::0                  
0x12110594 0x60000022      0      0  :::161                 :::0                  
0x12110e54 0x60000023      0      0  :::161                 :::0                  
0x12111774 0x60000024      0      0  :::161                 :::0                  
0x12113bf4 0x60000025      0      0  :::161                 :::0                  
0x12112034 0x60000026      0      0  :::161                 :::0                  
0x12112954 0x60000027      0      0  :::161                 :::0                  
0x121131b4 0x60000028      0      0  :::161                 :::0                  
0x121143c4 0x60000029      0      0  :::161                 :::0                  
0x12114bc4 0x6000002a      0      0  :::161                 :::0                  
0x12115664 0x6000002b      0      0  :::161                 :::0                  
0x12123e10 0x6000002c      0      0  :::161                 :::0                  
0x12120764 0x6000002f      0      0  :::161                 :::0                  
0x1212f034 0x60000030      0      0  :::161                 :::0                  
0x1212f3d4 0x60000031      0      0  :::161                 :::0                  
0x1212fb74 0x60000032      0      0  :::161                 :::0                  
0x121284a0 0x60000033      0      0  :::161                 :::0                  
0x121223d4 0x60000034      0      0  :::161                 :::0                  
0x12122bd4 0x60000035      0      0  :::161                 :::0                  
0x121201f4 0x60000036      0      0  :::161                 :::0                  
0x12121714 0x60000037      0      0  :::161                 :::0                  
0x120f5fa0 0x60000400      0      0  :::161                 :::0                  
0x120f5a30 0x00000000      0      0  :::161                 :::0                  
0x120f6650 0x60000000      0      0  :::162                 :::0                  
0x120f6978 0x60000001      0      0  :::162                 :::0                  
0x120f7298 0x60000002      0      0  :::162                 :::0                  
0x120fd0f4 0x60000003      0      0  :::162                 :::0                  
0x120ff380 0x60000004      0      0  :::162                 :::0                  
0x121001f4 0x60000005      0      0  :::162                 :::0                  
