

CPU utilization for five seconds: 12%/0%; one minute: 10%; five minutes: 10%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
20896          100   1144275      0   0.00%   0.00%  0.00%   -    l3vm
20897           90  146896867      0   0.00%   0.00%  0.00%   -    urib
20919       228900   6012090      0   0.00%   0.00%  0.00%   -    eem_policy_dir
20929       487000   3436438      0   0.00%   0.00%  0.00%   -    aclmgr
20933       231460   6014702      0   0.00%   0.00%  0.00%   -    ncpinframgr
20934           80  97383823      0   0.00%   0.00%  0.00%   -    u6rib
20947          110   2681407      0   0.00%   0.00%  0.00%   -    npacl
20952           90  17292971      0   0.00%   0.00%  0.00%   -    icmpv6
20997      1482310  30054475      0   0.00%   0.00%  0.00%   -    radius
21000           20       183      0   0.00%   0.00%  0.00%   -    ip_dummy
21001           20       184      0   0.00%   0.00%  0.00%   -    ipv6_dummy
21002       138170   1798249      0   0.00%   0.00%  0.00%   -    ntp
21003       515150   9169206      0   0.00%   0.00%  0.00%   -    otm
21006           20       182      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
21051       879930  30607470      0   0.00%   0.00%  0.00%   -    callhome
21054       197740   1192319      0   0.00%   0.00%  0.00%   -    dcos-xinetd
21121       236370   6013227      0   0.00%   0.00%  0.00%   -    plsm
21122       689130   9425938      0   0.00%   0.00%  0.00%   -    plcmgr
21126       636180  10117236      0   0.00%   0.00%  0.00%   -    lim
21129        91360   2022892      0   0.00%   0.00%  0.00%   -    eltm
21132        40160   2005686      0   0.00%   0.00%  0.00%   -    adbm
21133        98340   1487372      0   0.00%   0.00%  0.00%   -    acllog
21140       265280   6016357      0   0.00%   0.00%  0.00%   -    iscm
21166     16523680  57199840      0   0.00%   0.00%  0.00%   -    lacp
21170       237220   2383163      0   0.00%   0.00%  0.00%   -    aclqos
21174       231130   6012979      0   0.00%   0.00%  0.00%   -    vrrp-cfg
21175      5017880  56476555      0   0.00%   0.00%  0.00%   -    vpc
21177       113100   3005186      0   0.00%   0.00%  0.00%   -    u2
21178       474940   3717294      0   0.00%   0.00%  0.00%   -    spm
21179       244270   6012908      0   0.00%   0.00%  0.00%   -    sal
21180       571810   6308960      0   0.00%   0.00%  0.00%   -    nfm
21183       252380   6013378      0   0.00%   0.00%  0.00%   -    mcm
21187       314300   6015894      0   0.00%   0.00%  0.00%   -    glbp
21196     12699830  160546564      0   0.00%   0.00%  0.00%   -    vrrp-eng
21197      5569890  58570929      0   0.00%   0.00%  0.00%   -    ufdm
21199     20847020  88127048      0   0.00%   0.00%  0.00%   -    dhcp_snoop
21201          100  16122511      0   0.00%   0.00%  0.00%   -    mcastfwd
21206       339350   2493922      0   0.00%   0.00%  0.00%   -    m2rib
22766           80    576854      0   0.00%   0.00%  0.00%   -    sla_responder
