

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
 6386        14390    445549      0   0.00%  u2
 6388        31770    905333      0   0.00%  sal
 6389          520        87      0   0.00%  mrib
 6390    106534230  3564838886      0   0.51%  mfdm
 6391        33090    905463      0   0.00%  mcm
 6392          510        65      0   0.00%  m6rib
 6393      1118590   4508967      0   0.00%  l2pt
 6395        61440    884310      0   0.00%  interface-vlan
 6398        11450    237259      0   0.00%  m2rib
 7588        16490    503257      0   0.00%  bloggerd
 7597        99700   4453902      0   0.00%  psshelper
 7598        99690   4454039      0   0.00%  psshelper
 7599        38620   1199395      0   0.00%  plog_lc
 7600        73470   4455792      0   0.00%  patch_installer
 7601        12840    557115      0   0.00%  obfl_lc
 7602         7580    297127      0   0.00%  mvsh
 7603         5690    222803      0   0.00%  evmc
 7604       134020   4603023      0   0.00%  dt_helper
 7605       499650    473596      0   0.00%  diagclient
 7606      9573090  183587889      0   0.00%  crdcfg_server
 7607        14930    445821      0   0.00%  capability
 7611       155150   4799278      0   0.00%  device_test
 7612     36507830   2500798      0   0.00%  crdclient
 7616      2231550   1831177      0   0.00%  dc3_sensor
 7617     98516000  452090355      0   0.51%  tahusd
 7619         1240        62      0   0.00%  nxpython
 7646       594530   4436023      0   0.00%  nxpython
 7647       573250   4248837      0   0.00%  nxpython
 8655       143830   3330011      0   0.00%  bfdc
 8656      2018460  45326166      0   0.00%  fcpc
 8657        79980    671670      0   0.00%  iftmc
 8659        22940    892193      0   0.00%  pixc
 8660       136000   1536816      0   0.00%  port_client
 8661    203324640  397572708      0   0.00%  stats_client
 8662         5860    222769      0   0.00%  vntagc
 8663          220       298      0   0.00%  zonelc
 8664        91340    308601      0   0.00%  mtm
 8667        99640   1171049      0   0.00%  ipfib
 8669     30474010  303618328      0   0.00%  aclqos
 8670          180        29      0   0.00%  fib
 8671         4250    148637      0   0.00%  ptplc
 8672        45510    460966      0   0.00%  tun_enc_lc
 8676          160       258      0   0.00%  fcoelc
 8677         5960    171898      0   0.00%  monc
 8678       557820  18215016      0   0.00%  nf
 8679         9700    371159      0   0.00%  xbar_client
12604           60        15      0   0.00%  swtele
15262        10190    237593      0   0.00%  vntag_mgr
15263       704260  17861272      0   0.00%  fex
17351            0        36      0   0.00%  portmap
17451          120       105      0   0.00%  dcos_sshd
17501           90      2010      0   0.00%  dcos_sshd
17502          290       802      0   0.00%  vsh.bin
17875            0         1      0   0.00%  rpc.mountd
17883            0         6      0   0.00%  rpc.statd
17905            0         2      0   0.00%  sleep
20190       520390   1346241      0   0.00%  swmoni.sh
20342            0         6      0   0.00%  klogd
20560            0         1      0   0.00%  sshd
21294            0         2      0   0.00%  mcelog
21844           80       131      0   0.00%  getty
23387            0        11      0   0.00%  libvirtd_mon.sh
23388            0         9      0   0.00%  sh
23389       795210  12230363      0   0.00%  sysmgr
23390       401810   9011455      0   0.00%  sysmgr
23431          230       261      0   0.00%  libvirtd
24378            0         2      0   0.00%  inotifywait

CPU util  :    0.41% user,    1.00% kernel,   98.57% idle

CPU utilization for five seconds: 7%/0%; one minute: 4%; five minutes: 3%
 Please note that only processes from the requested vdc are shown above
