

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
 8406   2969600  1016121638  373178368   ffbb76f0/ffffffff  acllog
 8394   5320704  829513625   373125120   ffe6e800/ffffffff  plsm
 6686   3670016  658837696   373121024   ffec5880/ffffffff  diagmgr
 6673   3514368  754877516   373116928   fffc5770/ffffffff  res_mgr
 8195   2871296  1017248038  373030912   ffb4d060/ffffffff  eem_policy_dir
 8149   3002368  0           372846592   ffabda40/ffffffff  feature-mgr
 8152   4993024  822585350   372531200   fff81d30/ffffffff  session-mgr
 8172   3665920  750004006   372506624   ffb92e50/ffffffff  cli_acl
 6614   2150400  735176076   372453376   ffefbc80/ffffffff  licmgr
 8175   2940928  752788467   372424704   ffedb260/ffffffff  evms
 8181   4341760  752545164   372158464   ffff0160/ffffffff  statsprofiler
 8168   2531328  0           372125696   ffe1e750/ffffffff  aaa
 8403   3162112  1015738662  372060160   ffba7b10/ffffffff  ecp
 8151   3256320  1038360716  371855360   ff9cee10/ffffffff  psshelper
 8180   2899968  752126144   371843072   ff83ff30/ffffffff  snmpmib_proc
 8155   2928640  959909632   371580928   ff90ff70/ffffffff  vshd
 8179   1830912  766859948   371580928   ffd64bf0/ffffffff  sksd
 8185   2498560  1015261068  371331072   ffd74600/ffffffff  xmpp
 8329   3162112  472988876   371150848   ff95a7a0/ffffffff  dcos-xinetd
 8327   1753088  0           371064832   ffafef00/ffffffff  fscm
 6675   4431872  736388083   370999296   ff9e9360/ffffffff  pltfm_debug
 8328   2269184  0           370356224   ffa613b0/ffffffff  ntpd
 6615   1900544  0           370282496   ffee98c0/ffffffff  fs-daemon
 8436   2650112  771801254   370225152   ffb17560/ffffffff  eth_dstats
 8173   2404352  1014161702  370069504   ff992300/ffffffff  evmc
 8177   2306048  909458950   369852416   ffb84e50/ffffffff  mvsh
 8148   1843200  0           369500160   ffcaf470/ffffffff  confcheck
 8184   1646592  0           369131520   ffd68fb0/ffffffff  xmlma
 6674   1986560  657431948   360325120   ffb595c0/ffffffff  plugin
 6668   6086656  750079052   281231360   ff80c5e0/ffffffff  sysinfo
 8176    348160  0           276267008   ffd38570/ffffffff  mping_server
 8284    290816  657082342   275357696   ffe99bf0/ffffffff  ip_dummy
 8285    290816  657082342   275357696   ff8ccce0/ffffffff  ipv6_dummy
 8290    290816  657082342   275357696   ffb57a50/ffffffff  tcpudp_dummy

All processes: MemAlloc = 1607139328
