

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth111/1/9    1       trnk-bndl     Po271
Eth111/1/10   1       trnk-bndl     Po272
Eth111/1/11   1       trnk-bndl     Po273
Eth111/1/12   1       trnk-bndl     Po274
Eth111/1/13   1       trnk-bndl     Po275
Eth111/1/14   1       trnk-bndl     Po276
Eth111/1/15   1       trnk-bndl     Po277
Eth111/1/16   1       trnk-bndl     Po278
Eth111/1/17   1       trnk-bndl     Po279
Eth111/1/18   1       trnk-bndl     Po280
Eth111/1/19   1       trnk-bndl     Po281
Eth111/1/20   1       trnk-bndl     Po282
Eth111/1/21   1       trnk-bndl     Po283
Eth111/1/22   1       trnk-bndl     Po284
Eth111/1/23   1       trnk-bndl     Po285
Eth111/1/24   1       trnk-bndl     Po286
Eth111/1/25   1       trnk-bndl     Po287
Eth111/1/26   1       trnk-bndl     Po288
Eth111/1/27   1       trnk-bndl     Po289
Eth111/1/28   1       trnk-bndl     Po290
Eth111/1/29   1       trnk-bndl     Po291
Eth111/1/30   1       trnk-bndl     Po292
Eth111/1/31   1       trnk-bndl     Po293
Eth111/1/32   1       trnk-bndl     Po294
Eth113/1/1    1       trnk-bndl     Po295
Eth113/1/2    1       trnk-bndl     Po296
Eth113/1/3    1       trnk-bndl     Po297
Eth113/1/4    1       trnk-bndl     Po298
Eth113/1/5    1       trnk-bndl     Po299
Eth113/1/6    1       trnk-bndl     Po300

--------------------------------------------------------------------------------
Port          Vlans Allowed on Trunk
--------------------------------------------------------------------------------
Eth1/25       1178,2099,3564-3565
Eth1/26       1178,2099,3564-3565
Eth1/27       1178,2099,3564-3565
Eth1/28       1178,2099,3564-3565
Eth1/48       1-4094
Eth2/25       1178,2099,3564-3565
Eth2/26       1178,2099,3564-3565
Eth2/27       1178,2099,3564-3565
Eth2/28       1178,2099,3564-3565
Eth2/31       1178,2099,3850,3950
Eth2/48       1-4094
Eth3/16       3157,3341-3344,3428-3430,3579,3850,3865,3950,3965
Po4           1178,2099,3850,3950
Po31          3157,3341-3344,3428-3430,3579,3850,3865,3950,3965
Po33          1178,2099,3564-3565
Po34          1178,2099,3564-3565
Po53          1178,1440,3529-3530,3580
Po201         1179-1180,3157,3341-3344
Po202         1179-1180,3157,3341-3344
Po203         1179-1180,3157,3341-3344
Po204         1179-1180,3157,3341-3344
Po205         1179-1180,3157,3341-3344
Po206         1179-1180,3157,3341-3344
Po207         1179-1180,3157,3341-3344
Po208         1179-1180,3157,3341-3344
Po209         1179-1180,3157,3341-3344
Po210         1179-1180,3157,3341-3344
Po211         1179-1180,3157,3341-3344
Po212         1179-1180,3157,3341-3344
Po213         1179-1180,3157,3341-3344
Po214         1179-1180,3157,3341-3344
Po215         1179-1180,3329-3330
Po216         1179-1180,3329-3330
Po217         1179-1180,3329-3330
Po218         1179-1180,3329-3330
Po219         1179-1180,3329-3330
Po220         1179-1180,3329-3330
Po221         1179-1180,3329-3330
Po222         1179-1180,3329-3330
Po223         1179-1180,3329-3330
Po224         1179-1180,3329-3330
Po225         1179-1180,3329-3330
Po226         1179-1180,3329-3330
Po227         1179-1180,3333-3334
Po228         1179-1180,3333-3334
Po229         1179-1180,3333-3334
Po230         1179-1180,3333-3334
Po231         1179-1180,3333-3334
Po232         1179-1180,3333-3334
Po233         1179-1180,3333-3334
Po234         1179-1180,3333-3334
Po235         1179-1180,3333-3334
Po236         1179-1180,3333-3334
Po237         1179-1180,3333-3334
Po238         1179-1180,3333-3334
Po239         1179-1180,3337-3338
Po240         1179-1180,3337-3338
Po241         1179-1180,3337-3338
Po242         1179-1180,3337-3338
Po243         1179-1180,3337-3338
Po244         1179-1180,3337-3338
Po245         1179-1180,3337-3338
Po246         1179-1180,3337-3338
Po247         1179-1180,3337-3338
Po248         1179-1180,3337-3338
Po249         1179-1180,3337-3338
Po250         1179-1180,3337-3338
Po251         1179-1180,3331-3332
Po252         1179-1180,3331-3332
Po253         1179-1180,3331-3332
Po254         1179-1180,3331-3332
Po255         1179-1180,3331-3332
Po256         1179-1180,3331-3332
Po257         1179-1180,3331-3332
Po258         1179-1180,3331-3332
Po259         1179-1180,3331-3332
Po260         1179-1180,3331-3332
Po261         1179-1180,3331-3332
Po262         1179-1180,3331-3332
Po263         1179-1180,3335-3336
Po264         1179-1180,3335-3336
Po265         1179-1180,3335-3336
Po266         1179-1180,3335-3336
Po267         1179-1180,3335-3336
Po268         1179-1180,3335-3336
Po269         1179-1180,3335-3336
Po270         1179-1180,3335-3336
