
VPC Role: Primary
VPC Peer-Link Status: Up

Interface      Orphan Port        Orphan-port   
               Suspend-config     Status        
------------   ----------------   -------------
Eth107/1/16       -                 Up   
Eth107/1/17       -                 Up   
Eth107/1/18       -                 Up   
Eth107/1/19       -                 Up   
Eth107/1/20       -                 Up   
Eth107/1/21       -                 Up   
Eth107/1/22       -                 Up   
Eth107/1/23       -                 Up   
Eth107/1/24       -                 Up   
Eth107/1/25       -                 Up   
Eth107/1/26       -                 Up   
Eth107/1/27       -                 Up   
Eth107/1/28       -                 Down 
Eth107/1/29       -                 Down 
Eth107/1/30       -                 Down 
Eth107/1/31       -                 Down 
Eth107/1/32       -                 Down 
Eth107/1/33       -                 Down 
Eth107/1/34       -                 Down 
Eth107/1/35       -                 Down 
Eth107/1/36       -                 Down 
Eth107/1/37       -                 Down 
Eth107/1/38       -                 Down 
Eth107/1/39       -                 Down 
Eth107/1/40       -                 Down 
Eth107/1/41       -                 Down 
Eth107/1/42       -                 Down 
Eth107/1/43       -                 Down 
Eth107/1/44       -                 Down 
Eth107/1/45       -                 Down 
Eth107/1/46       -                 Down 
Eth107/1/47       -                 Down 
Eth107/1/48       -                 Down 
Eth113/1/7        -                 Down 
Eth113/1/8        -                 Down 
Eth113/1/9        -                 Down 
Eth113/1/10       -                 Down 
Eth113/1/11       -                 Down 
Eth113/1/12       -                 Down 
Eth113/1/13       -                 Down 
Eth113/1/14       -                 Down 
Eth113/1/15       -                 Down 
Eth113/1/16       -                 Down 
Eth113/1/17       -                 Down 
Eth113/1/18       -                 Down 
Eth113/1/19       -                 Down 
Eth113/1/20       -                 Down 
Eth113/1/21       -                 Down 
Eth113/1/22       -                 Down 
Eth113/1/23       -                 Down 
Eth113/1/24       -                 Down 
Eth113/1/25       -                 Down 
Eth113/1/26       -                 Down 
Eth113/1/27       -                 Down 
Eth113/1/28       -                 Down 
Eth113/1/29       -                 Down 
Eth113/1/30       -                 Down 
Eth113/1/31       -                 Down 
Eth113/1/32       -                 Down 
