
Mount-on                  1K-blocks      Used   Available   Use%  Filesystem
/                           9265152   2424724     6840428     27   none
/usr_ro                       74880     74880           0    100   /dev/loop0
/usr                        9265152   2424724     6840428     27   aufs
/proc                             0         0           0      0   proc
/sys                              0         0           0      0   none
/isan_lib_ro                  58240     58240           0    100   /dev/loop1
/isan_bin_ro                  50560     50560           0    100   /dev/loop2
/isan_bin_eth_ro              30720     30720           0    100   /dev/loop3
/isan_lib_eth_ro              10496     10496           0    100   /dev/loop4
/isan_lib_n9k_ro               4224      4224           0    100   /dev/loop5
/isan_bin_n9k_ro                128       128           0    100   /dev/loop6
/isan/bin                   9265152   2424724     6840428     27   aufs
/isan/lib                   9265152   2424724     6840428     27   aufs
/etc                           5120      3312        1808     65   none
/nxos/tmp                    102400      1548      100852      2   none
/nxos/xlog                    81920     22712       59208     28   none
/nxos/dme_logs                81920     11508       70412     15   none
/var/volatile/log             51200       548       50652      2   none
/var/home                      5120        32        5088      1   none
/var/volatile/tmp            614400       992      613408      1   none
/var/sysmgr                 3891200      3632     3887568      1   none
/var/sysmgr/ftp             2097152    293360     1803792     14   none
/var/sysmgr/srv_logs         256000    153136      102864     60   none
/var/sysmgr/ftp/debug_logs     10240         0       10240      0   none
/dev/shm                    4194304    558072     3636232     14   none
/dev/icam                   1048576     15596     1032980      2   none
/volatile                   2097152        20     2097132      1   none
/debug                         5120      1088        4032     22   none
/mnt/ifc/cfg/db              524288         0      524288      0   none
/dev/mqueue                       0         0           0      0   none
/debugfs                          0         0           0      0   debugfs
/bootflash                113856652   5391052   108465600      5   /dev/sda4
/dev/pts                          0         0           0      0   devpts
/var/cgroup                12284676         0    12284676      0   cgroup
/var/cgroup/cpuset                0         0           0      0   cgroup
/var/cgroup/cpu                   0         0           0      0   cgroup
/var/cgroup/cpuacct               0         0           0      0   cgroup
/var/cgroup/memory                0         0           0      0   cgroup
/var/cgroup/devices               0         0           0      0   cgroup
/var/cgroup/freezer               0         0           0      0   cgroup
/var/cgroup/perf_event            0         0           0      0   cgroup
/var/cgroup/hugetlb               0         0           0      0   cgroup
/var/cgroup/debug                 0         0           0      0   cgroup
/var/cgroup/systemd               0         0           0      0   cgroup
/sys/fs/cgroup             12284676         0    12284676      0   cgroup
/sys/fs/cgroup/cpuset             0         0           0      0   cgroup
/sys/fs/cgroup/cpu                0         0           0      0   cgroup
/sys/fs/cgroup/cpuacct            0         0           0      0   cgroup
/sys/fs/cgroup/memory             0         0           0      0   cgroup
/sys/fs/cgroup/devices            0         0           0      0   cgroup
/sys/fs/cgroup/freezer            0         0           0      0   cgroup
/sys/fs/cgroup/perf_event         0         0           0      0   cgroup
/sys/fs/cgroup/hugetlb            0         0           0      0   cgroup
/sys/fs/cgroup/debug              0         0           0      0   cgroup
/sys/fs/cgroup/systemd            0         0           0      0   cgroup
/debugfs/tracing                  0         0           0      0   tracefs
/mnt/cfg/0                    59365      2608       53481      5   /dev/sda5
/mnt/cfg/1                    59365      2608       53481      5   /dev/sda6
/mnt/plog                     27633      1092       24903      5   /dev/sda2
/mnt/blkoops                      0         0           0      0   none
/mnt/pstore                   27633       395       24945      2   /dev/mmcblk0p3
/var/sysmgr/startup-cfg      614400      9604      604796      2   none
/lc_ro                        66176     66176           0    100   /dev/loop7
/lc_n9k_ro                    95872     95872           0    100   /dev/loop8
/tahusd_ro                   133376    133376           0    100   /dev/loop9
/lc                         9265152   2424724     6840428     27   aufs
/mnt/pss                     122835      3604      112678      4   /dev/sda3
/logflash                   8125880    104552     7601900      2   /dev/sda7
/smack                            0         0           0      0   smackfs
/proc/fs/nfsd                     0         0           0      0   nfsd
/bootflash/.rpmstore/patching    193687      1564      182123      1   /dev/loop10
/data_store                       0         0           0      0   none
/nxos/mts                   4194304         0     4194304      0   none
/var/volatile/run/netns     9265152   2424724     6840428     27   none
/var/volatile/run/netns/default         0         0           0      0   nsfs
/var/volatile/run/netns/default         0         0           0      0   nsfs
/var/volatile/run/netns/management         0         0           0      0   nsfs
/var/volatile/run/netns/management         0         0           0      0   nsfs
/var/volatile/run/netns/vpc-keepalive         0         0           0      0   nsfs
/var/volatile/run/netns/vpc-keepalive         0         0           0      0   nsfs
