
Legend: 
	* - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
	age - seconds since last seen,+ - primary entry using vPC Peer-Link,
	(T) - True, (F) - False, C - ControlPlane MAC, ~ - vsan
   VLAN     MAC Address      Type      age     Secure NTFY Ports
---------+-----------------+--------+---------+------+----+------------------
+ 2951     4cd9.8fc6.8c96   dynamic  0         F      F    Po7
* 2951     7c31.0eb7.3724   dynamic  0         F      F    Po7
+ 2951     9440.c932.39ea   dynamic  0         F      F    Po7
* 2951     9440.c937.6d02   dynamic  0         F      F    Po7
* 2951     a400.e2c5.dd2b   dynamic  0         F      F    Eth101/1/7
* 2951     a453.0edc.92dc   dynamic  0         F      F    Po7
* 2951     cc64.a656.4946   dynamic  0         F      F    Eth101/1/2
* 2951     cc64.a656.4b0d   dynamic  0         F      F    Eth101/1/3
* 2951     cc64.a656.4b30   dynamic  0         F      F    Eth101/1/4
+ 2951     d4ad.bd93.557c   dynamic  0         F      F    Po7
+ 2951     eceb.b891.1504   dynamic  0         F      F    Po7
+ 3126     0000.0c9f.fc36   dynamic  0         F      F    Po7
* 3126     00de.fb1a.5242   dynamic  0         F      F    Po7
* 3126     00de.fb1a.5c42   dynamic  0         F      F    Po7
+ 3126     1277.d350.c9f6   dynamic  0         F      F    Po308
* 3126     12d6.5a5a.0daf   dynamic  0         F      F    Po308
* 3126     36ad.9f94.c53f   dynamic  0         F      F    Po308
* 3126     ca47.ebff.1106   dynamic  0         F      F    Po309
* 3126     ea9c.d42a.b3c0   dynamic  0         F      F    Po309
* 3155     0000.0c9f.fc53   dynamic  0         F      F    Po7
+ 3155     002e.c725.abfa   dynamic  0         F      F    Po7
+ 3155     002e.c725.ac7e   dynamic  0         F      F    Po7
+ 3155     0050.566b.8b80   dynamic  0         F      F    Po7
* 3155     0050.5689.044d   dynamic  0         F      F    Po7
* 3155     0050.5689.174d   dynamic  0         F      F    Po7
+ 3155     0050.5689.1ba5   dynamic  0         F      F    Po7
+ 3155     0050.5689.3698   dynamic  0         F      F    Po7
+ 3155     0050.5689.3c12   dynamic  0         F      F    Po7
* 3155     0050.5689.3f3f   dynamic  0         F      F    Po7
+ 3155     0050.5689.4020   dynamic  0         F      F    Po7
* 3155     0050.5689.4208   dynamic  0         F      F    Po7
+ 3155     0050.5689.430a   dynamic  0         F      F    Po7
* 3155     0050.5689.4a8e   dynamic  0         F      F    Po7
+ 3155     0050.5689.6bd7   dynamic  0         F      F    Po7
+ 3155     0050.5689.7798   dynamic  0         F      F    Po7
* 3155     0050.5689.7bdd   dynamic  0         F      F    Po7
* 3155     0050.5689.8156   dynamic  0         F      F    Po7
+ 3155     0050.5689.84a7   dynamic  0         F      F    Po7
* 3155     0050.5689.852c   dynamic  0         F      F    Po7
* 3155     0050.5689.9cb5   dynamic  0         F      F    Po7
* 3155     0050.5689.b17d   dynamic  0         F      F    Po7
* 3155     0050.5689.bec5   dynamic  0         F      F    Po7
* 3155     0050.5689.bf8b   dynamic  0         F      F    Po7
* 3155     0050.5689.bff7   dynamic  0         F      F    Po7
* 3155     0050.5689.c74d   dynamic  0         F      F    Po7
+ 3155     0050.5689.cd3a   dynamic  0         F      F    Po7
* 3155     0050.5689.d27b   dynamic  0         F      F    Po7
+ 3155     0050.5689.e76a   dynamic  0         F      F    Po7
+ 3155     0050.5689.fa5f   dynamic  0         F      F    Po7
* 3155     0050.5689.fedb   dynamic  0         F      F    Po7
* 3155     00de.fb1a.5242   dynamic  0         F      F    Po7
+ 3155     00de.fb1a.5243   dynamic  0         F      F    Po7
* 3155     00de.fb1a.5c42   dynamic  0         F      F    Po7
* 3155     00de.fb1a.5c43   dynamic  0         F      F    Po7
+ 3155     00de.fb57.c142   dynamic  0         F      F    Po7
+ 3155     00de.fb57.c942   dynamic  0         F      F    Po7
+ 3155     1277.d350.c9f6   dynamic  0         F      F    Po308
* 3155     12d6.5a5a.0daf   dynamic  0         F      F    Po308
+ 3155     260d.eee9.12d9   dynamic  0         F      F    Po7
* 3155     2a3b.d9e3.701a   dynamic  0         F      F    Po309
* 3155     2e3b.0099.4810   dynamic  0         F      F    Po7
* 3155     36ad.9f94.c53f   dynamic  0         F      F    Po308
* 3155     506b.8d1f.fd62   dynamic  0         F      F    Po7
+ 3155     506b.8d91.39dd   dynamic  0         F      F    Po7
+ 3155     506b.8dc6.20b7   dynamic  0         F      F    Po7
* 3155     727c.57c4.2655   dynamic  0         F      F    Po7
+ 3155     9a89.1a6c.1804   dynamic  0         F      F    Po7
+ 3155     a4dc.be0d.d0ec   dynamic  0         F      F    Po7
+ 3155     a4dc.be0d.d0f0   dynamic  0         F      F    Po7
+ 3155     a4dc.be0d.d0f4   dynamic  0         F      F    Po7
* 3155     a4dc.be0d.d10c   dynamic  0         F      F    Po7
+ 3155     a4dc.be0d.d140   dynamic  0         F      F    Po7
* 3155     a4dc.be0d.d163   dynamic  0         F      F    Po7
+ 3155     a4dc.be0d.d174   dynamic  0         F      F    Po7
* 3155     a4dc.be0d.d220   dynamic  0         F      F    Po7
+ 3155     a4dc.be0d.d228   dynamic  0         F      F    Po7
* 3155     a4dc.be0d.d3e4   dynamic  0         F      F    Po7
+ 3155     aa6b.47ee.6fbd   dynamic  0         F      F    Po7
+ 3155     b221.5cce.d9e5   dynamic  0         F      F    Po7
+ 3155     b6f9.fbbf.6256   dynamic  0         F      F    Po7
* 3155     ca47.ebff.1106   dynamic  0         F      F    Po309
* 3155     e443.4ba5.c5fe   dynamic  0         F      F    Po7
+ 3155     e443.4baa.dd54   dynamic  0         F      F    Po7
* 3155     e443.4bab.430e   dynamic  0         F      F    Po7
+ 3155     e443.4bab.5176   dynamic  0         F      F    Po7
* 3155     e443.4bab.5ccc   dynamic  0         F      F    Po7
* 3155     e443.4bab.9e20   dynamic  0         F      F    Po7
* 3155     e443.4bab.9e86   dynamic  0         F      F    Po7
* 3155     e443.4bab.9ea8   dynamic  0         F      F    Po7
+ 3155     e443.4bab.9f0e   dynamic  0         F      F    Po7
+ 3155     e443.4bab.bfda   dynamic  0         F      F    Po7
* 3155     ea9c.d42a.b3c0   dynamic  0         F      F    Po309
* 3155     ec38.8f73.a521   dynamic  0         F      F    Po7
* 3155     ec38.8f73.a8d1   dynamic  0         F      F    Po7
* 3155     ec38.8f73.a8e3   dynamic  0         F      F    Po7
+ 3155     ec38.8f73.a8e9   dynamic  0         F      F    Po7
+ 3155     ec38.8f73.a8ef   dynamic  0         F      F    Po7
* 3155     ec38.8f73.a8ff   dynamic  0         F      F    Po7
+ 3155     ec38.8f73.a901   dynamic  0         F      F    Po7
* 3155     ec38.8f73.a915   dynamic  0         F      F    Po7
+ 3155     ec38.8f73.a91f   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.3122   dynamic  0         F      F    Po7
* 3155     ec38.8f78.318c   dynamic  0         F      F    Po7
* 3155     ec38.8f78.31ce   dynamic  0         F      F    Po7
* 3155     ec38.8f78.31e4   dynamic  0         F      F    Po7
* 3155     ec38.8f78.3204   dynamic  0         F      F    Po7
* 3155     ec38.8f78.3218   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.3222   dynamic  0         F      F    Po7
* 3155     ec38.8f78.3236   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.3238   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.323c   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.3410   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.343c   dynamic  0         F      F    Po7
* 3155     ec38.8f78.3444   dynamic  0         F      F    Po7
* 3155     ec38.8f78.3446   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.344c   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.344e   dynamic  0         F      F    Po7
* 3155     ec38.8f78.34fc   dynamic  0         F      F    Po7
* 3155     ec38.8f78.357c   dynamic  0         F      F    Po7
+ 3155     ec38.8f78.3590   dynamic  0         F      F    Po7
* 3155     ec38.8f78.359c   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.31db   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.31f1   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.31f3   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.31f5   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.31f7   dynamic  0         F      F    Po7
* 3155     ec38.8f79.31f9   dynamic  0         F      F    Po7
* 3155     ec38.8f79.31fb   dynamic  0         F      F    Po7
* 3155     ec38.8f79.31ff   dynamic  0         F      F    Po7
* 3155     ec38.8f79.3207   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.3209   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.320d   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.3211   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.3279   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.3285   dynamic  0         F      F    Po7
* 3155     ec38.8f79.3403   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.351b   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.d8b5   dynamic  0         F      F    Po7
* 3155     ec38.8f79.d961   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.d9cb   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.d9d5   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.d9d7   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.d9e3   dynamic  0         F      F    Po7
* 3155     ec38.8f79.d9eb   dynamic  0         F      F    Po7
* 3155     ec38.8f79.d9f1   dynamic  0         F      F    Po7
* 3155     ec38.8f79.d9f3   dynamic  0         F      F    Po7
* 3155     ec38.8f79.d9f5   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.d9fb   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.d9fd   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.da01   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.da05   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.da06   dynamic  0         F      F    Po7
* 3155     ec38.8f79.da0f   dynamic  0         F      F    Po7
* 3155     ec38.8f79.da13   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.da1d   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.da1f   dynamic  0         F      F    Po7
* 3155     ec38.8f79.da21   dynamic  0         F      F    Po7
* 3155     ec38.8f79.da25   dynamic  0         F      F    Po7
+ 3155     ec38.8f79.da33   dynamic  0         F      F    Po7
* 3155     ec38.8f79.da4d   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d62a   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d634   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d638   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d642   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d652   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d654   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d658   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d65a   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d65e   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d660   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d668   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d66a   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d66c   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d682   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d690   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d69a   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d69e   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d6a0   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d75c   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d796   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d7a4   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d7ca   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d7d2   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d7e6   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d7e8   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d7eb   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d7f0   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d7f8   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d7fa   dynamic  0         F      F    Po7
* 3155     ec38.8f7a.d805   dynamic  0         F      F    Po7
+ 3155     ec38.8f7a.d80c   dynamic  0         F      F    Po7
+ 3155     ec38.8f7e.af43   dynamic  0         F      F    Po7
+ 3779     0000.0c9f.fec3   dynamic  0         F      F    Po7
* 3779     00de.fb1a.5242   dynamic  0         F      F    Po7
+ 3779     00de.fb1a.5c42   dynamic  0         F      F    Po7
+ 3779     7221.5dda.2733   dynamic  0         F      F    Po309
* 3779     aecc.2f6b.07b3   dynamic  0         F      F    Po308
* 3781     0000.0c9f.fec5   dynamic  0         F      F    Po7
* 3781     00de.fb1a.5242   dynamic  0         F      F    Po7
* 3781     00de.fb1a.5c42   dynamic  0         F      F    Po7
* 3781     7243.30ce.021d   dynamic  0         F      F    Po308
+ 3781     b292.6760.1f2f   dynamic  0         F      F    Po309
* 3792     0000.0c9f.fed0   dynamic  0         F      F    Po7
+ 3792     00de.fb1a.5242   dynamic  0         F      F    Po7
* 3792     00de.fb1a.5c42   dynamic  0         F      F    Po7
* 3792     02c4.7ab0.cc94   dynamic  0         F      F    Eth101/1/10
* 3792     02c4.7ab0.cd56   dynamic  0         F      F    Eth101/1/11
* 3792     0cc4.7ab0.cc94   dynamic  0         F      F    Eth101/1/10
* 3792     0cc4.7ab0.cd56   dynamic  0         F      F    Eth101/1/11
* 3792     3868.dd13.279d   dynamic  0         F      F    Po7
+ 3792     3868.dd13.367d   dynamic  0         F      F    Po7
+ 3792     3868.dd13.3815   dynamic  0         F      F    Po7
* 3792     3868.dd13.3d5d   dynamic  0         F      F    Po7
* 3792     3868.dd13.402d   dynamic  0         F      F    Po7
* 3792     3868.dd13.409d   dynamic  0         F      F    Po7
* 3792     3868.dd13.419d   dynamic  0         F      F    Po7
+ 3792     3868.dd13.41ad   dynamic  0         F      F    Po7
+ 3792     3868.dd13.41b5   dynamic  0         F      F    Po7
+ 3792     3868.dd13.41c5   dynamic  0         F      F    Po7
* 3792     3868.dd17.6825   dynamic  0         F      F    Po7
* 3792     3868.dd18.d225   dynamic  0         F      F    Po7
+ 3792     3868.dd18.d6cd   dynamic  0         F      F    Po7
* 3792     3868.dd18.e09d   dynamic  0         F      F    Po7
+ 3792     3868.dd18.e30d   dynamic  0         F      F    Po7
+ 3792     3868.dd18.e36d   dynamic  0         F      F    Po7
+ 3792     3868.dd18.e445   dynamic  0         F      F    Po7
+ 3792     3868.dd18.e4d5   dynamic  0         F      F    Po7
+ 3792     3868.dd18.f005   dynamic  0         F      F    Po7
* 3792     3868.dd18.f265   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.40f5   dynamic  0         F      F    Po7
* 3792     3868.dd1f.4a05   dynamic  0         F      F    Po7
* 3792     3868.dd1f.4c35   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.78bd   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.7c0d   dynamic  0         F      F    Po7
* 3792     3868.dd1f.7ced   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.7d05   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.7f5d   dynamic  0         F      F    Po7
* 3792     3868.dd1f.80ed   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.81fd   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.84fd   dynamic  0         F      F    Po7
* 3792     3868.dd1f.85a5   dynamic  0         F      F    Po7
* 3792     3868.dd1f.864d   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.86bd   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.874d   dynamic  0         F      F    Po7
* 3792     3868.dd1f.885d   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.88a5   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.88cd   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.896d   dynamic  0         F      F    Po7
* 3792     3868.dd1f.898d   dynamic  0         F      F    Po7
+ 3792     3868.dd1f.8a2d   dynamic  0         F      F    Po7
* 3792     3868.dd1f.8c2d   dynamic  0         F      F    Po7
* 3792     3868.dd1f.8c4d   dynamic  0         F      F    Po7
* 3792     3868.dd1f.92c5   dynamic  0         F      F    Po7
+ 3792     4cd9.8f06.9bb4   dynamic  0         F      F    Po7
+ 3792     4cd9.8f06.9ce6   dynamic  0         F      F    Po7
+ 3792     4cd9.8f07.3a6c   dynamic  0         F      F    Po7
* 3792     4cd9.8f07.3ca0   dynamic  0         F      F    Po7
+ 3792     4cd9.8f14.1c62   dynamic  0         F      F    Po7
+ 3792     4cd9.8f14.1dbe   dynamic  0         F      F    Po7
+ 3792     4cd9.8f14.1e4e   dynamic  0         F      F    Po7
* 3792     4cd9.8f14.206a   dynamic  0         F      F    Po7
+ 3799     0000.0c9f.fed7   dynamic  0         F      F    Po7
+ 3799     00de.fb1a.5242   dynamic  0         F      F    Po7
* 3799     00de.fb1a.5c42   dynamic  0         F      F    Po7
* 3799     0894.ef48.2bb8   dynamic  0         F      F    Po7
* 3799     0894.ef48.2be0   dynamic  0         F      F    Po7
* 3799     0894.ef48.3080   dynamic  0         F      F    Po7
* 3799     0894.ef48.4098   dynamic  0         F      F    Po7
+ 3801     0000.0c9f.fed9   dynamic  0         F      F    Po7
* 3801     0050.5652.cb4b   dynamic  0         F      F    Eth1/16
+ 3801     0050.5653.3c56   dynamic  0         F      F    Po7
* 3801     0050.5656.ac02   dynamic  0         F      F    Eth1/17
+ 3801     0050.569d.a5b1   dynamic  0         F      F    Po7
+ 3801     0050.56a0.7911   dynamic  0         F      F    Po7
+ 3801     0050.56a1.04f1   dynamic  0         F      F    Po7
* 3801     0050.56a1.9920   dynamic  0         F      F    Po7
+ 3801     0050.56a1.da4c   dynamic  0         F      F    Po7
+ 3801     0050.56a1.e5ad   dynamic  0         F      F    Po7
+ 3801     0050.56a1.f56c   dynamic  0         F      F    Po7
+ 3801     0050.56a4.14cf   dynamic  0         F      F    Po7
+ 3801     0050.56a4.20dd   dynamic  0         F      F    Po7
+ 3801     0050.56a4.26e4   dynamic  0         F      F    Po7
+ 3801     0050.56a4.2969   dynamic  0         F      F    Po7
+ 3801     0050.56a4.2c2c   dynamic  0         F      F    Po7
+ 3801     0050.56a4.2fc1   dynamic  0         F      F    Po7
+ 3801     0050.56a4.342e   dynamic  0         F      F    Po7
+ 3801     0050.56a4.36f9   dynamic  0         F      F    Po7
+ 3801     0050.56a4.3ab7   dynamic  0         F      F    Po7
+ 3801     0050.56a4.3b49   dynamic  0         F      F    Po7
+ 3801     0050.56a4.3f5a   dynamic  0         F      F    Po7
+ 3801     0050.56a4.4594   dynamic  0         F      F    Po7
* 3801     0050.56a4.48b8   dynamic  0         F      F    Po7
+ 3801     0050.56a4.4a1c   dynamic  0         F      F    Po7
