

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1          989  44095791      0    0.0%  init
    2         2102   7030117      0    0.0%  migration/0
    3          807  956412307      0    0.0%  ksoftirqd/0
    4         2201  12573834      0    0.0%  desched/0
    5         2221   7017091      0    0.0%  migration/1
    6         1680  2648888797      0    0.0%  ksoftirqd/1
    7         2128  12495394      0    0.0%  desched/1
    8         1723  191271594      0    0.0%  events/0
    9         1073  202096379      0    0.0%  events/1
   10         1334    310956      4    0.0%  khelper
   15            0        32     15    0.0%  kthread
   24            0         2      2    0.0%  kacpid
  463          714     42073     16    0.0%  kblockd/0
  464          673     37417     18    0.0%  kblockd/1
  477            7       441     16    0.0%  khubd
  545          677  31150466      0    0.0%  pdflush
  546            0         1      3    0.0%  kswapd0
  547            0         2      1    0.0%  aio/0
  548            0         2      1    0.0%  aio/1
 1106            0         2      2    0.0%  kide/0
 1107            0         2      1    0.0%  kide/1
 1110            0         2      1    0.0%  ata/0
 1111            0         2      1    0.0%  ata/1
 1116            0         1      3    0.0%  mtdblockd
 1178         1882  3500880374      0    0.0%  kirqd
 1189            0         1      4    0.0%  scsi_eh_0
 1190         1088   2443753      0    0.0%  usb-storage
 1497          664  13496447      0    0.0%  cmond/0
 1498         2347  13496451      0    0.0%  cmond/1
 1609         2076    540939      3    0.0%  klogd
 1714          197      1404    140    0.0%  kjournald
 1722          178       656    271    0.0%  kjournald
 2478           17         8   2221    0.0%  jffs2_gcd_mtd2
 2538         2272    421477      5    0.0%  kjournald
 2553          530       646    821    0.0%  kjournald
 3039            0        21     35    0.0%  portmap
 3048          185     56249      3    0.0%  nfsd
 3049          180     56237      3    0.0%  nfsd
 3050          181     56237      3    0.0%  nfsd
 3051          190     56237      3    0.0%  nfsd
 3052          177     56237      3    0.0%  nfsd
 3053          180     56237      3    0.0%  nfsd
 3054          187     56239      3    0.0%  nfsd
 3055          186     56239      3    0.0%  nfsd
 3056            0         2     21    0.0%  lockd
 3057            0         1      3    0.0%  rpciod
 3062            0         1     63    0.0%  rpc.mountd
 3068            3         8    389    0.0%  rpc.statd
 3095         2157  758298660      0    0.0%  sysmgr
 3749            0         1     14    0.0%  mping-thread
 3999         2309  20251701      0    0.0%  insmod
 4463           13         4   3360    0.0%  xinetd
 4464            5        28    203    0.0%  tftpd
 4465          520  1476434112      0    0.0%  syslogd
 4466          204      2109     96    0.0%  sdwrapd
 4467         2181  2505465743      0    0.0%  pfma
 4474         1992  101221085      0    0.0%  ls-notify-mts-t
 4480         2095  645497259      0    0.0%  usd_mts_kthread
 4487            0         1     42    0.0%  pfm_gem_hp_kern
 4491         1209  51484678      0    0.0%  vshd
 4492           52        14   3719    0.0%  smm
 4493          404  205378975      0    0.0%  psshelper
 4494         1484   3500996      0    0.0%  lmgrd
 4495          254  41162698      0    0.0%  licmgr
 4496         1886      2749    686    0.0%  fs-daemon
 4497         1604  194375098      0    0.0%  feature-mgr
 4498          424  41231138      0    0.0%  fcfwd
 4499          990     87760     11    0.0%  confcheck
 4500          328  22901516      0    0.0%  capability
 4501          575  205364015      0    0.0%  psshelper_gsvc
 4511         1977   5563290      0    0.0%  cisco
 4512          265  20608384      0    0.0%  clis
 4515         1586  47547460      0    0.0%  port-profile
 4517         1291  22986260      0    0.0%  provision
 4521          342  43858812      0    0.0%  zschk
 4522          315  205555646      0    0.0%  xmlma
 4523          617  47482662      0    0.0%  vmm
 4524           49  47304944      0    0.0%  vdc_mgr
 4525         1613  102591932      0    0.0%  ttyd
 4526           27  25214712      0    0.0%  sysinfo
 4527         1217  67487906      0    0.0%  sunnyvale
 4528         1417  14983342      0    0.0%  sensor
 4530         1940   3934847      0    0.0%  res_mgr
 4531         2358   4244661      0    0.0%  plugin
 4532          255  60038569      0    0.0%  pltfm_config
 4533         2402  41236474      0    0.0%  plog_sup
 4534           67  73827074      0    0.0%  pfstat
 4535         1768  25318353      0    0.0%  obfl
 4536          106       130    822    0.0%  npacl
 4537         2402  21761944      0    0.0%  nohms
 4538          570  14612271      0    0.0%  mvsh
 4539          315  202557361      0    0.0%  ledmgr
 4540         1184  86724661      0    0.0%  ifmgr
 4541          359  42276921      0    0.0%  idehsd
 4542         2266  114346151      0    0.0%  evmc
 4543         1958  44047330      0    0.0%  ethpc
 4544         1770  942743820      0    0.0%  eth_dstats
 4545          149      1962     76    0.0%  core-dmon
 4546         1203  2373308180      0    0.0%  carmelusd
 4548          437  102637097      0    0.0%  bootvar
 4549         1334  40848450      0    0.0%  bios_daemon
 4550         1105  54001143      0    0.0%  bcm_usd
 4551          434  20245665      0    0.0%  athertonusd
 4552         1130  25686738      0    0.0%  ascii-cfg
 4553          126  204381127      0    0.0%  securityd
 4554          822  205270240      0    0.0%  cert_enroll
 4555         2082  205502225      0    0.0%  aaa
 4561           60   4990316      0    0.0%  aclmgr
 4562           64        21   3080    0.0%  l3vm
 4563         2263  47696353      0    0.0%  monitor
 4564          135        50   2707    0.0%  mrib
 4565           80       110    731    0.0%  u6rib
 4566           99        50   1982    0.0%  urib
 4569            7        16    451    0.0%  core-client
 4572         1155  732501493      0    0.0%  eth_port_channel
 4574         1923  44288274      0    0.0%  qd
 4578          747  15073661      0    0.0%  ipqosmgr
 4583         1975  1985652776      0    0.0%  fwm
 4584         1060  427362253      0    0.0%  statsclient
 4587           55        47   1181    0.0%  adjmgr
 4588          695  47464470      0    0.0%  sal
 4589         1290  3997932211      0    0.0%  snmpd
 4602           84  205138654      0    0.0%  callhome
 4613          226  84012498      0    0.0%  afm
 4614         1785  12763848      0    0.0%  m2rib
 4616          473  71431764      0    0.0%  vlan_mgr
 4633           49        20   2492    0.0%  arp
 4634           53        37   1457    0.0%  icmpv6
 4635          180       100   1803    0.0%  netstack
 4683          185  4223803153      0    0.0%  ethpm
 4694         1718  729834525      0    0.0%  radius
 4695          256  2520964030      0    0.0%  cfs
 4696          108        44   2471    0.0%  igmp
 4697           44      1815     24    0.0%  ip_dummy
 4698           45      1807     25    0.0%  ipv6_dummy
 4699          293  31540527      0    0.0%  ntp
 4700         2354  47652230      0    0.0%  otm
 4701           44      1818     24    0.0%  pktmgr_dummy
 4702           68        33   2063    0.0%  rpm
 4703           45      1843     24    0.0%  tcpudp_dummy
 4707          684  586289305      0    0.0%  cdp
 4708          560  526852519      0    0.0%  lldp
 4709         2050  2572453648      0    0.0%  stp
 4710         1836  809441916      0    0.0%  ntpd
 4715         2364     95402     24    0.0%  dcos-xinetd
 4717           61        28   2201    0.0%  mcastfwd
 4912         1040  13496471      0    0.0%  wdpunch_thread
 5242         2144  208639702      0    0.0%  tacacs
 5251         1003  466828454      0    0.0%  udld
 5253          226  180158005      0    0.0%  interface-vlan
 5255           25  485095038      0    0.0%  lacp
 5257         1106  1406078540      0    0.0%  vpc
 5259          933  3364974138      0    0.0%  fex
17434            5        18    322    0.0%  getty
18492         1698  36683712      0    0.0%  btcm
18495         1527  37705058      0    0.0%  ipfib
18496          245  29741310      0    0.0%  mfdm
18497         1445  26737349      0    0.0%  ufdm
20825          663     10534     62    0.0%  dcos_sshd
20842         1014       533   1902    0.0%  vsh
21213            1         6    167    0.0%  vsh
21214           16         4   4209    0.0%  ps
31429         2399   9342264      0    0.0%  pdflush

CPU util  :   1.0% user,   6.0% kernel,   93.0% idle
