

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1         1604  43928852      0    0.0%  init
    2         1947   6937057      0    0.0%  migration/0
    3          797  4061894801      0    0.0%  ksoftirqd/0
    4         2121  12497808      0    0.0%  desched/0
    5         1854   6936271      0    0.0%  migration/1
    6          880  331591553      0    0.0%  ksoftirqd/1
    7         1530  12465490      0    0.0%  desched/1
    8          340  183636017      0    0.0%  events/0
    9         2135  201427105      0    0.0%  events/1
   10         1202    310952      3    0.0%  khelper
   15            0        31     15    0.0%  kthread
   24            0         2      2    0.0%  kacpid
  463          656     35747     18    0.0%  kblockd/0
  464          594     36006     16    0.0%  kblockd/1
  477            7       441     15    0.0%  khubd
  545         1629  12561926      0    0.0%  pdflush
  546            0         1      3    0.0%  kswapd0
  547            0         2      1    0.0%  aio/0
  548            0         2      1    0.0%  aio/1
 1106            0         2      1    0.0%  kide/0
 1107            0         2      1    0.0%  kide/1
 1110            0         2      1    0.0%  ata/0
 1111            0         2      1    0.0%  ata/1
 1116            0         1      3    0.0%  mtdblockd
 1178         1600  4288736182      0    0.0%  kirqd
 1189            0         1      4    0.0%  scsi_eh_0
 1190         2254   2292023      0    0.0%  usb-storage
 1497          150  13496325      0    0.0%  cmond/0
 1498         1856  13496382      0    0.0%  cmond/1
 1714           74       509    146    0.0%  kjournald
 1722           81       325    249    0.0%  kjournald
 2478           10         6   1719    0.0%  jffs2_gcd_mtd2
 2536         1233    386169      3    0.0%  kjournald
 2553          565       579    977    0.0%  kjournald
 3039            0        21     35    0.0%  portmap
 3048          189     56249      3    0.0%  nfsd
 3049          190     56237      3    0.0%  nfsd
 3050          186     56237      3    0.0%  nfsd
 3051          186     56237      3    0.0%  nfsd
 3052          189     56237      3    0.0%  nfsd
 3053          219     56237      3    0.0%  nfsd
 3054          199     56239      3    0.0%  nfsd
 3055          203     56239      3    0.0%  nfsd
 3056            0         2     21    0.0%  lockd
 3057            0         1      3    0.0%  rpciod
 3062            0         1     65    0.0%  rpc.mountd
 3068            3         8    388    0.0%  rpc.statd
 3095          528  759059927      0    0.0%  sysmgr
 3749            0         1     13    0.0%  mping-thread
 3999         2156  20248366      0    0.0%  insmod
 4463           13         5   2685    0.0%  xinetd
 4464            4        17    281    0.0%  tftpd
 4465         2381  1477368464      0    0.0%  syslogd
 4466          158      2072     76    0.0%  sdwrapd
 4467         1119  1769364468      0    7.0%  pfma
 4474         1805  101219195      0    0.0%  ls-notify-mts-t
 4480         2280  608237343      0    0.0%  usd_mts_kthread
 4487            0         1     42    0.0%  pfm_gem_hp_kern
 4491         2162  51045836      0    0.0%  vshd
 4492           51        11   4710    0.0%  smm
 4493         1320  204377180      0    0.0%  psshelper
 4494          384   3483070      0    0.0%  lmgrd
 4495         1589  40830393      0    0.0%  licmgr
 4496         2040      2887    706    0.0%  fs-daemon
 4497          348  174127705      0    0.0%  feature-mgr
 4498          135  40777575      0    0.0%  fcfwd
 4499          414     72352      5    0.0%  confcheck
 4500         1095  23504584      0    0.0%  capability
 4501         2388  204364276      0    0.0%  psshelper_gsvc
 4509         1588   5456289      0    0.0%  cisco
 4512          156  20478134      0    0.0%  clis
 4515          338  45471156      0    0.0%  port-profile
 4517         1062  23562355      0    0.0%  provision
 4521         2252  44304796      0    0.0%  zschk
 4522         2093  203953430      0    0.0%  xmlma
 4523          703  48477354      0    0.0%  vmm
 4524         1861  48394446      0    0.0%  vdc_mgr
 4525         1392  101863150      0    0.0%  ttyd
 4526         1904  24993051      0    0.0%  sysinfo
 4527           74  67491843      0    0.0%  sunnyvale
 4528         2029  14895225      0    0.0%  sensor
 4530          243   3920269      0    0.0%  res_mgr
 4531          474   4309772      0    0.0%  plugin
 4532         1262  61660901      0    0.0%  pltfm_config
 4533         2400  40829364      0    0.0%  plog_sup
 4534         1249  75244775      0    0.0%  pfstat
 4535         2416  25317995      0    0.0%  obfl
 4536          107       128    842    0.0%  npacl
 4537         1082  22449109      0    0.0%  nohms
 4538          785  15839156      0    0.0%  mvsh
 4539         1404  202984788      0    0.0%  ledmgr
 4540         2375  78603866      0    0.0%  ifmgr
 4541          639  41283184      0    0.0%  idehsd
 4542         1064  113765557      0    0.0%  evmc
 4543         2111  45233349      0    0.0%  ethpc
 4544          933  826350741      0    0.0%  eth_dstats
 4545          123      1896     65    0.0%  core-dmon
 4546         1076  2203969397      0    0.0%  carmelusd
 4548          289  101926216      0    0.0%  bootvar
 4549          939  40644107      0    0.0%  bios_daemon
 4550          819  53995188      0    0.0%  bcm_usd
 4551         1114  20245145      0    0.0%  athertonusd
 4552          319  25536496      0    0.0%  ascii-cfg
 4553         1044  203744128      0    0.0%  securityd
 4554         1576  204339053      0    0.0%  cert_enroll
 4555         2080  204529602      0    0.0%  aaa
 4557           65        25   2631    0.0%  l3vm
 4558         1040  49521199      0    0.0%  monitor
 4559          137        82   1674    0.0%  mrib
 4560           78        55   1431    0.0%  u6rib
 4561           99        72   1381    0.0%  urib
 4563         1900   6143498      0    0.0%  aclmgr
 4565         2440  45626700      0    0.0%  qd
 4569            7        19    378    0.0%  core-client
 4575         2144  3603811054      0   13.0%  snmpd
 4577         2121  526251016      0    0.0%  eth_port_channel
 4579         2017  16787648      0    0.0%  ipqosmgr
 4585          734  204719640      0    0.0%  callhome
 4592         1260  1942284299      0    0.0%  fwm
 4593         2163  410661958      0    0.0%  statsclient
 4608         1837  83979066      0    0.0%  afm
 4610          110  14628042      0    0.0%  m2rib
 4611          806  69467231      0    0.0%  vlan_mgr
 4617           55        22   2523    0.0%  adjmgr
 4619         1547  48529449      0    0.0%  sal
 4622           49        19   2623    0.0%  arp
 4623           57        54   1064    0.0%  icmpv6
 4624          181        88   2065    2.0%  netstack
 4658         1088  3070728000      0    0.0%  ethpm
 4691         1308  724450573      0    0.0%  radius
 4692         1122  2255408049      0    0.0%  cfs
 4693          109        38   2876    0.0%  igmp
 4694           43      1839     23    0.0%  ip_dummy
 4695           43      1834     23    0.0%  ipv6_dummy
 4696         2109  31422564      0    0.0%  ntp
 4697         2206  49382471      0    0.0%  otm
 4698           45      1870     24    0.0%  pktmgr_dummy
 4699           69        30   2318    0.0%  rpm
 4700           43      1866     23    0.0%  tcpudp_dummy
 4707         1741  179255957      0    0.0%  cdp
 4708          588  517622345      0    0.0%  lldp
 4709         2359  2361630246      0    0.0%  stp
 4710         2182     94533     23    0.0%  dcos-xinetd
 4711          235  814824501      0    0.0%  ntpd
 4716           62        23   2705    0.0%  mcastfwd
 4912         1024  13496424      0    0.0%  wdpunch_thread
 5509          304  207279836      0    0.0%  tacacs
 5515         1984  575241547      0    0.0%  udld
 5517         2332  161204563      0    0.0%  interface-vlan
 5519         1791  522928605      0    0.0%  lacp
 5521          742  1409202787      0    0.0%  vpc
 5523          427  2307024988      0    0.0%  fex
 7112          455      7004     65    0.0%  dcos_sshd
 7129         1010       517   1955    0.0%  vsh
 7497            1         8    130    0.0%  vsh
 7498           17        11   1547    0.0%  ps
12779          309   9342068      0    0.0%  pdflush
22469            5        23    247    0.0%  getty
24013           11       811     14    0.0%  lmreread
24014          647  36876535      0    0.0%  btcm
24017         1376  38705474      0    0.0%  ipfib
24018          560  30294455      0    0.0%  mfdm
24019         1710  27298858      0    0.0%  ufdm
27324          425    563363      0    0.0%  klogd

CPU util  :   8.4% user,   15.3% kernel,   76.2% idle
