

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/39       531,540,557,560,564,566,576-578,600-606,608-609,625-626,628-629,632-634,637,640,652,654-655,657-658,666-668,678-679
Eth1/40       531,540,557,560,564,566,576-578,600-606,608-609,625-626,628-629,632-634,637,640,652,654-655,657-658,666-668,678-679
Eth1/41       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth1/42       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth1/43       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth1/44       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth1/45       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth1/46       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth1/47       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth1/48       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
Eth2/6        4,600-699
Eth2/7        608
Eth2/8        600,608
Eth2/13       1-4094
Eth2/25       540,556-568,571-579,608-609,629
Eth2/26       540,556-568,571-579,608-609,629
Eth2/33       none
Eth2/34       none
Eth2/35       none
Eth2/36       none
Eth2/37       531,540,557,560,564,566,576-578,600-606,608-609,625-626,628-629,632-634,637,640,652,654-655,657-658,666-668,678-679
Eth2/38       531,540,557,560,564,566,576-578,600-606,608-609,625-626,628-629,632-634,637,640,652,654-655,657-658,666-668,678-679
Eth2/39       531,540,557,560,564,566,576-578,600-606,608-609,625-626,628-629,632-634,637,640,652,654-655,657-658,666-668,678-679
Eth2/40       531,540,557,560,564,566,576-578,600-606,608-609,625-626,628-629,632-634,637,640,652,654-655,657-658,666-668,678-679
Eth2/41       4,531,540,554-555,557,560,564,566,576-579,584-585,600-606,608-609,625-626,628-629,632-633,637,640,646-647,652,654-655,657-658,666-668,678-680,682,694,951-952
