
Tue Oct 13 20:14:50.145 MSK

               Intf       Intf        LineP              Encap  MTU        BW
               Name       State       State               Type (byte)    (Kbps)
--------------------------------------------------------------------------------
                BE1          up          up               ARPA  9216   20000000
                BE2          up          up               ARPA  9216   10000000
           BE2.3798          up          up             802.1Q  9220   10000000
                BE3          up          up               ARPA  9216   20000000
           BE3.2626          up          up             802.1Q  9220   20000000
           BE3.3069          up          up             802.1Q  9220   20000000
           BE3.3075          up          up             802.1Q  9220   20000000
           BE3.3088          up          up             802.1Q  9220   20000000
           BE3.3224          up          up             802.1Q  9220   20000000
           BE3.3230          up          up             802.1Q  9220   20000000
           BE3.3239          up          up             802.1Q  9220   20000000
           BE3.3246          up          up             802.1Q  9220   20000000
           BE3.3273          up          up             802.1Q  9220   20000000
           BE3.3287          up          up             802.1Q  9220   20000000
           BE3.3295          up          up             802.1Q  9220   20000000
           BE3.3548          up          up             802.1Q  9220   20000000
           BE3.3569          up          up             802.1Q  9220   20000000
           BE3.3578          up          up             802.1Q  9220   20000000
           BE3.3593          up          up             802.1Q  9220   20000000
           BE3.3658          up          up             802.1Q  9220   20000000
           BE3.3664          up          up             802.1Q  9220   20000000
           BE3.3670          up          up             802.1Q  9220   20000000
           BE3.3676          up          up             802.1Q  9220   20000000
           BE3.3680  admin-down  admin-down             802.1Q  9220   20000000
           BE3.3684          up          up             802.1Q  9220   20000000
           BE3.3688  admin-down  admin-down             802.1Q  9220   20000000
           BE3.3694          up          up             802.1Q  9220   20000000
           BE3.3701          up          up             802.1Q  9220   20000000
           BE3.3706          up          up             802.1Q  9220   20000000
           BE3.3711          up          up             802.1Q  9220   20000000
           BE3.3716          up          up             802.1Q  9220   20000000
           BE3.3721          up          up             802.1Q  9220   20000000
           BE3.3726          up          up             802.1Q  9220   20000000
           BE3.3731          up          up             802.1Q  9220   20000000
           BE3.3736          up          up             802.1Q  9220   20000000
           BE3.3741          up          up             802.1Q  9220   20000000
                BE4          up          up               ARPA  9216   20000000
           BE4.2628          up          up             802.1Q  9220   20000000
           BE4.3071          up          up             802.1Q  9220   20000000
           BE4.3077          up          up             802.1Q  9220   20000000
           BE4.3090          up          up             802.1Q  9220   20000000
           BE4.3226          up          up             802.1Q  9220   20000000
           BE4.3232          up          up             802.1Q  9220   20000000
           BE4.3241          up          up             802.1Q  9220   20000000
           BE4.3248          up          up             802.1Q  9220   20000000
           BE4.3275          up          up             802.1Q  9220   20000000
           BE4.3289          up          up             802.1Q  9220   20000000
           BE4.3297          up          up             802.1Q  9220   20000000
           BE4.3550          up          up             802.1Q  9220   20000000
           BE4.3571          up          up             802.1Q  9220   20000000
           BE4.3580          up          up             802.1Q  9220   20000000
           BE4.3595          up          up             802.1Q  9220   20000000
           BE4.3660          up          up             802.1Q  9220   20000000
           BE4.3666          up          up             802.1Q  9220   20000000
           BE4.3672          up          up             802.1Q  9220   20000000
           BE4.3678          up          up             802.1Q  9220   20000000
           BE4.3682  admin-down  admin-down             802.1Q  9220   20000000
           BE4.3686          up          up             802.1Q  9220   20000000
           BE4.3690  admin-down  admin-down             802.1Q  9220   20000000
           BE4.3696          up          up             802.1Q  9220   20000000
           BE4.3703          up          up             802.1Q  9220   20000000
           BE4.3708          up          up             802.1Q  9220   20000000
           BE4.3713          up          up             802.1Q  9220   20000000
           BE4.3718          up          up             802.1Q  9220   20000000
           BE4.3723          up          up             802.1Q  9220   20000000
           BE4.3728          up          up             802.1Q  9220   20000000
           BE4.3733          up          up             802.1Q  9220   20000000
           BE4.3738          up          up             802.1Q  9220   20000000
           BE4.3743          up          up             802.1Q  9220   20000000
                BE5          up          up               ARPA  9170   20000000
           BE5.2691          up          up             802.1Q  9174   20000000
           BE5.3260          up          up             802.1Q  9174   20000000
           BE5.3795          up          up             802.1Q  9174   20000000
                BE6          up          up               ARPA  9170   10000000
           BE6.2695          up          up             802.1Q  9174   10000000
           BE6.3262          up          up             802.1Q  9174   10000000
           BE6.3264          up          up             802.1Q  9174   10000000
           BE6.3270          up          up             802.1Q  9174   10000000
           BE6.3281          up          up             802.1Q  9174   10000000
           BE6.3444          up          up             802.1Q  9174   10000000
           BE6.3460          up          up             802.1Q  9174   10000000
           BE6.3462          up          up             802.1Q  9174   10000000
           BE6.3474          up          up             802.1Q  9174   10000000
           BE6.3489          up          up             802.1Q  9174   10000000
           BE6.3529          up          up             802.1Q  9174   10000000
           BE6.3553          up          up             802.1Q  9174   10000000
           BE6.3614          up          up             802.1Q  9174   10000000
           BE6.3624          up          up             802.1Q  9174   10000000
           BE6.3626          up          up             802.1Q  9174   10000000
           BE6.3698          up          up             802.1Q  9174   10000000
           BE6.3745          up          up             802.1Q  9174   10000000
           BE6.3747          up          up             802.1Q  9174   10000000
           BE6.3749          up          up             802.1Q  9174   10000000
           BE6.3751          up          up             802.1Q  9174   10000000
           BE6.3755          up          up             802.1Q  9174   10000000
           BE6.3757          up          up             802.1Q  9174   10000000
           BE6.3759          up          up             802.1Q  9174   10000000
                BE7          up          up               ARPA  9216   10000000
                Lo0          up          up           Loopback  1500          0
                Nu0          up          up               Null  1500          0
    Mg0/RSP0/CPU0/0          up          up               ARPA  1514    1000000
    Mg0/RSP0/CPU0/1  admin-down  admin-down               ARPA  1514          0
    PT0/RSP0/CPU0/0  admin-down  admin-down               ARPA  1514     100000
          Te0/0/0/0          up          up               ARPA  9216   10000000
          Te0/0/0/1          up          up               ARPA  9216   10000000
          Te0/0/0/2          up          up               ARPA  9216   10000000
     Te0/0/0/2.3097          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3243          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3267          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3269          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3277          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3279          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3455          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3457          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3459          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3465          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3473          up          up             802.1Q  9220   10000000
     Te0/0/0/2.3477          up          up             802.1Q  9220   10000000
