
Fri Oct  2 00:22:46.724 MSK
   PCB     VRF-ID     Recv-Q Send-Q Local Address          Foreign Address        State
0x121e62c8 0x60000028      0      0  10.67.251.141:179      10.67.251.142:19928    ESTAB
0x121b8f08 0x60000000      0   3000  10.255.255.144:22      10.64.0.111:38270      ESTAB
0x122903c0 0x60000002      0      0  10.128.254.243:16051   10.128.128.11:49       TIMEWAIT
0x12203c84 0x60000018      0      0  10.99.128.6:179        10.99.128.5:21834      ESTAB
0x121d768c 0x60000030      0      0  10.77.147.213:11755    10.77.147.214:179      ESTAB
0x121e7c18 0x6000002a      0      0  10.203.103.21:44666    10.203.103.22:179      ESTAB
0x1226eb30 0x60000002      0      0  10.128.254.243:14121   10.128.128.11:49       TIMEWAIT
0x122734d0 0x6000001a      0      0  10.192.144.157:179     10.192.144.158:21574   ESTAB
0x121c3c68 0x6000000b      0      0  10.194.255.81:179      10.194.255.82:44794    ESTAB
0x1223aad8 0x6000000c      0      0  10.194.255.213:179     10.194.255.214:22006   ESTAB
0x1220571c 0x60000007      0      0  172.16.62.5:179        172.16.62.6:46849      ESTAB
0x12250d10 0x60000019      0      0  10.172.255.69:44969    10.172.255.70:179      ESTAB
0x121d7a64 0x60000018      0      0  10.99.128.21:179       10.99.128.22:65210     ESTAB
0x12223238 0x60000028      0      0  10.67.251.129:179      10.67.251.130:12398    ESTAB
0x1218c48c 0x60000016      0      0  10.67.49.1:179         10.67.49.2:52613       ESTAB
0x12272b9c 0x60000006      0      0  172.16.239.21:179      172.16.239.22:26118    ESTAB
0x121d6cf0 0x6000001c      0      0  10.192.106.5:179       10.192.106.6:21340     ESTAB
0x12204980 0x6000001d      0      0  10.192.249.1:179       10.192.249.2:62883     ESTAB
0x122221a4 0x60000025      0      0  10.67.251.89:179       10.67.251.90:35414     ESTAB
0x12200e00 0x60000008      0      0  172.16.98.249:179      172.16.98.250:18367    ESTAB
0x121d4234 0x6000001b      0      0  10.106.140.25:179      10.106.140.26:20685    ESTAB
0x121ff578 0x60000020      0      0  10.192.254.229:179     10.192.254.230:58002   ESTAB
0x12277444 0x6000002a      0      0  10.203.103.5:179       10.203.103.6:12873     ESTAB
0x121a83cc 0x60000000      0      0  10.255.255.144:179     10.255.255.160:16632   ESTAB
0x1228d21c 0x60000035      0      0  10.210.79.5:179        10.210.79.6:57945      ESTAB
0x1223cc6c 0x60000004      0      0  10.144.192.9:179       10.144.192.10:20785    ESTAB
0x121e75c0 0x60000006      0      0  172.16.239.2:51272     172.16.239.1:179       ESTAB
0x12245e7c 0x60000027      0      0  10.67.251.101:179      10.67.251.102:39715    ESTAB
0x1228b6dc 0x60000003      0      0  10.150.253.33:179      10.150.253.34:20306    ESTAB
0x122104c4 0x6000002c      0      0  172.31.5.10:179        172.31.5.9:21610       ESTAB
0x12173894 0x60000000      0      0  0.0.0.0:22             0.0.0.0:0              LISTEN
0x12187d84 0x60000002      0      0  0.0.0.0:22             0.0.0.0:0              LISTEN
0x12174170 0x00000000      0      0  0.0.0.0:22             0.0.0.0:0              LISTEN
0x12173d48 0x60000000      0      0  0.0.0.0:23             0.0.0.0:0              LISTEN
0x1215aeb0 0x60000002      0      0  0.0.0.0:23             0.0.0.0:0              LISTEN
0x1216f8a0 0x00000000      0      0  0.0.0.0:23             0.0.0.0:0              LISTEN
0x1215ba8c 0x60000000      0      0  0.0.0.0:646            0.0.0.0:0              LISTEN
0x1215a7fc 0x00000000      0      0  0.0.0.0:646            0.0.0.0:0              LISTEN
0x121876ac 0x60000000      0      0  0.0.0.0:4082           0.0.0.0:0              LISTEN
0x1218353c 0x00000000      0      0  0.0.0.0:4082           0.0.0.0:0              LISTEN
0x12182e6c 0x60000000      0      0  0.0.0.0:4083           0.0.0.0:0              LISTEN
0x1217baec 0x00000000      0      0  0.0.0.0:4083           0.0.0.0:0              LISTEN
0x121a3ab8 0x60000000      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x1219eb38 0x60000003      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
0x121a8da0 0x60000004      0      0  0.0.0.0:179            0.0.0.0:0              LISTEN
