
Fri Oct  2 00:22:47.093 MSK
   PCB     VRF-ID     Recv-Q Send-Q  Local Address          Foreign Address
0x12121594 0x60000038      0      0  :::162                 :::0                  
0x120f6c14 0x60000400      0      0  :::162                 :::0                  
0x120f64c0 0x00000000      0      0  :::162                 :::0                  
0x1208bfb4 0x00000000      0      0  :::0                   :::0                  
0x12084e14 0x00000000      0      0  :::0                   :::0                  
0x12080d3c 0x60000400      0      0  0.0.0.0:69             0.0.0.0:0             
0x12080494 0x00000000      0      0  0.0.0.0:69             0.0.0.0:0             
0x12115604 0x60000000      0      0  0.0.0.0:123            0.0.0.0:0             
0x120fd250 0x60000002      0      0  0.0.0.0:123            0.0.0.0:0             
0x120fc8e4 0x00000000      0      0  0.0.0.0:123            0.0.0.0:0             
0x120f7d84 0x60000000      0      0  0.0.0.0:646            0.0.0.0:0             
0x120f7198 0x00000000      0      0  0.0.0.0:646            0.0.0.0:0             
0x12088548 0x60000000      0      0  0.0.0.0:161            0.0.0.0:0             
0x12088718 0x60000001      0      0  0.0.0.0:161            0.0.0.0:0             
0x1208c184 0x60000002      0      0  0.0.0.0:161            0.0.0.0:0             
0x120fcc6c 0x60000003      0      0  0.0.0.0:161            0.0.0.0:0             
0x120feab0 0x60000004      0      0  0.0.0.0:161            0.0.0.0:0             
0x120ffb88 0x60000005      0      0  0.0.0.0:161            0.0.0.0:0             
0x121013d4 0x60000006      0      0  0.0.0.0:161            0.0.0.0:0             
0x12100ab4 0x60000007      0      0  0.0.0.0:161            0.0.0.0:0             
0x121025b4 0x60000008      0      0  0.0.0.0:161            0.0.0.0:0             
0x12103794 0x60000009      0      0  0.0.0.0:161            0.0.0.0:0             
0x12101dec 0x6000000a      0      0  0.0.0.0:161            0.0.0.0:0             
0x121027e4 0x6000000b      0      0  0.0.0.0:161            0.0.0.0:0             
0x121030a4 0x6000000c      0      0  0.0.0.0:161            0.0.0.0:0             
0x121041f4 0x6000000d      0      0  0.0.0.0:161            0.0.0.0:0             
0x12104ab4 0x6000000e      0      0  0.0.0.0:161            0.0.0.0:0             
0x12105374 0x6000000f      0      0  0.0.0.0:161            0.0.0.0:0             
0x12105c34 0x60000010      0      0  0.0.0.0:161            0.0.0.0:0             
0x12107504 0x60000011      0      0  0.0.0.0:161            0.0.0.0:0             
0x12107dc4 0x60000012      0      0  0.0.0.0:161            0.0.0.0:0             
0x12106b84 0x60000013      0      0  0.0.0.0:161            0.0.0.0:0             
0x12109034 0x60000016      0      0  0.0.0.0:161            0.0.0.0:0             
0x120fdff0 0x60000017      0      0  0.0.0.0:161            0.0.0.0:0             
0x12108824 0x60000018      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210a9e8 0x60000019      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210bbc8 0x6000001a      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210a588 0x6000001b      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210b1c8 0x6000001c      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210b9c8 0x6000001d      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210c714 0x6000001e      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210ea68 0x6000001f      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210fc48 0x60000020      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210e6b8 0x60000021      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210f0f8 0x60000022      0      0  0.0.0.0:161            0.0.0.0:0             
0x1210f9b8 0x60000023      0      0  0.0.0.0:161            0.0.0.0:0             
0x12111664 0x60000024      0      0  0.0.0.0:161            0.0.0.0:0             
0x12110d44 0x60000025      0      0  0.0.0.0:161            0.0.0.0:0             
0x12112844 0x60000026      0      0  0.0.0.0:161            0.0.0.0:0             
0x12113a24 0x60000027      0      0  0.0.0.0:161            0.0.0.0:0             
0x12112264 0x60000028      0      0  0.0.0.0:161            0.0.0.0:0             
0x12112c44 0x60000029      0      0  0.0.0.0:161            0.0.0.0:0             
