
 OSPF Process ID 1 VRF default
 Total number of neighbors: 27
 Neighbor ID     Pri State            Up Time  Address         Interface
 10.8.252.56       0 FULL/ -          2w3d     10.8.252.56     tunnel-te7056 
 10.8.252.58       1 FULL/ -          2w3d     10.8.1.190      Po3 
 10.8.252.59       1 FULL/ -          2w3d     10.8.1.194      Po4 
 10.8.252.9        1 FULL/ -          2w3d     10.8.1.214      Po5 
 10.8.252.1        1 FULL/ -          1w1d     10.8.255.37     Po21 
 10.8.252.67       1 FULL/ -          1w1d     10.8.255.146    Po1051 
 10.8.252.68       1 FULL/ -          2w3d     10.8.255.150    Po1052 
 10.8.252.3        1 FULL/ -          2w3d     10.8.255.54     Eth1/2 
 10.8.252.107      1 FULL/ -          1w1d     10.8.1.250      Eth1/3 
 10.8.252.7        1 FULL/ -          2w3d     10.8.1.166      Eth1/4 
 10.8.252.49       1 FULL/ -          2w3d     10.8.255.110    Eth1/7 
 10.8.252.23       1 FULL/ -          2w3d     10.8.1.206      Eth1/8 
 10.8.252.251      1 FULL/ -          2w3d     10.8.1.222      Eth1/20 
 10.8.252.4        1 FULL/ -          2w3d     10.8.255.58     Eth2/2 
 10.8.252.108      1 FULL/ -          1w1d     10.8.1.254      Eth2/3 
 10.8.252.8        1 FULL/ -          2w3d     10.8.1.170      Eth2/4 
 10.8.252.55       1 FULL/ -          2w3d     10.8.1.178      Eth2/6 
 10.8.252.50       1 FULL/ -          2w3d     10.8.255.114    Eth2/7 
 10.8.252.101    128 FULL/ -          2w3d     10.8.1.238      Eth2/8 
 10.8.252.42       1 FULL/ -          2w3d     10.8.2.118      Eth2/10 
 10.8.252.63       1 FULL/ -          2w3d     10.8.255.134    Eth2/11 
 10.8.252.252      1 FULL/ -          2w3d     10.8.1.230      Eth2/20 
 10.8.252.68       1 FULL/ -          1w6d     10.8.255.193    Eth7/2 
 10.8.252.58       1 FULL/ -          6d02h    10.8.13.110     Eth7/3 
 10.8.252.67       1 FULL/ -          1w1d     10.8.255.185    Eth8/2 
 10.8.252.59       1 FULL/ -          6d02h    10.8.13.114     Eth8/3 
 10.8.252.1        1 FULL/ -          1w1d     10.8.255.177    Po10 
