
        OSPF Router with ID (10.8.252.2) (Process ID 1 VRF default)

                Router Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum Link Count
10.8.6.1        10.8.252.11     646        0x800024fa 0x7ee6

                Opaque Area Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum Opaque ID
1.0.0.0         10.8.252.1      925        0x800001ac 0xa7db   0
1.0.0.0         10.8.252.2      41         0x80000355 0x5482   0
1.0.0.0         10.8.252.3      1414       0x8000de91 0x4c70   0
1.0.0.0         10.8.252.4      308        0x8000de92 0x4e6b   0
1.0.0.0         10.8.252.12     328        0x80006f4c 0x85bb   0
1.0.0.0         10.8.252.55     1571       0x800050c0 0xa6ee   0
1.0.0.0         10.8.252.56     24         0x8000c9ce 0x22e9   0
1.0.0.1         10.8.252.55     1571       0x80000181 0xdc57   1
1.0.0.1         10.8.252.56     24         0x80002e0b 0xcc05   1
1.0.0.39        10.8.252.3      610        0x800071b3 0xbcb8   39
1.0.0.39        10.8.252.4      609        0x800071b4 0x96dd   39
1.0.0.40        10.8.252.56     24         0x800098a9 0x018f   40
1.0.0.41        10.8.252.1      785        0x800001ab 0x4181   41
1.0.0.41        10.8.252.2      823        0x800001aa 0x1fa4   41
1.0.0.43        10.8.252.3      1454       0x800001a9 0xa544   43
1.0.0.43        10.8.252.4      1465       0x800001a9 0xb030   43
1.0.0.44        10.8.252.3      610        0x800032c5 0x8923   44
1.0.0.44        10.8.252.4      600        0x8000a88a 0xb8a7   44
1.0.0.46        10.8.252.1      1266       0x800001aa 0xc520   46
1.0.0.46        10.8.252.2      1373       0x80000354 0x88a0   46
1.0.0.68        10.8.252.3      1662       0x80000353 0x898a   68
1.0.0.68        10.8.252.4      1663       0x80000353 0x9476   68
1.0.0.71        10.8.252.1      1266       0x800001aa 0xf1d1   71
1.0.0.71        10.8.252.2      1373       0x80000354 0xb452   71
1.0.0.71        10.8.252.3      1393       0x800028bf 0x151c   71
1.0.0.71        10.8.252.4      1340       0x800028bf 0x31ee   71
1.0.0.75        10.8.252.1      1266       0x800001aa 0xadd7   75
1.0.0.75        10.8.252.2      1333       0x80000355 0x5d72   75
1.0.0.90        10.8.252.55     1571       0x80000304 0x7bd1   90
1.0.1.57        10.8.252.12     329        0x80006f4d 0x3773   313
1.0.1.84        10.8.252.12     329        0x800024f1 0xf82c   340

                Type-5 AS External Link States 

Link ID         ADV Router      Age        Seq#       Checksum Tag
0.0.0.0         10.8.252.9      1380       0x8001478e 0x3ca7    0
0.0.0.0         10.8.252.10     201        0x80014793 0x2cb1    0
10.8.38.3       10.8.252.105    1023       0x800000d4 0x66e8    65500
10.8.38.3       10.8.252.106    811        0x800000d4 0x60ed    65500
10.8.38.3       10.8.252.107    546        0x800000d3 0x5cf1    65500
10.8.38.3       10.8.252.108    60         0x800000d3 0x56f6    65500
10.8.38.4       10.8.252.105    1018       0x800000d4 0x5cf1    65500
10.8.38.4       10.8.252.106    811        0x800000d4 0x56f6    65500
10.8.38.4       10.8.252.107    546        0x800000d3 0x52fa    65500
10.8.38.4       10.8.252.108    60         0x800000d3 0x4cff    65500
10.8.38.5       10.8.252.105    1018       0x800000d4 0x52fa    65500
10.8.38.5       10.8.252.106    811        0x800000d4 0x4cff    65500
10.8.38.5       10.8.252.107    546        0x800000d3 0x4804    65500
10.8.38.5       10.8.252.108    60         0x800000d3 0x4209    65500
10.8.38.6       10.8.252.105    1018       0x800000d4 0x4804    65500
10.8.38.6       10.8.252.106    811        0x800000d4 0x4209    65500
10.8.38.6       10.8.252.107    546        0x800000d3 0x3e0d    65500
10.8.38.6       10.8.252.108    60         0x800000d3 0x3812    65500
10.8.38.7       10.8.252.105    1018       0x800000d4 0x3e0d    65500
10.8.38.7       10.8.252.106    811        0x800000d4 0x3812    65500
10.8.38.7       10.8.252.107    546        0x800000d3 0x3416    65500
10.8.38.7       10.8.252.108    60         0x800000d3 0x2e1b    65500
10.8.38.8       10.8.252.105    1018       0x800000d4 0x3416    65500
10.8.38.8       10.8.252.106    811        0x800000d4 0x2e1b    65500
10.8.38.8       10.8.252.107    546        0x800000d3 0x2a1f    65500
10.8.38.8       10.8.252.108    60         0x800000d3 0x2424    65500
10.8.38.9       10.8.252.105    1018       0x800000d4 0x2a1f    65500
10.8.38.9       10.8.252.106    811        0x800000d4 0x2424    65500
10.8.38.9       10.8.252.107    546        0x800000d3 0x2028    65500
10.8.38.9       10.8.252.108    60         0x800000d3 0x1a2d    65500
10.8.38.10      10.8.252.105    1018       0x800000d4 0x2028    65500
10.8.38.10      10.8.252.106    811        0x800000d4 0x1a2d    65500
10.8.38.10      10.8.252.107    546        0x800000d3 0x1631    65500
10.8.38.10      10.8.252.108    60         0x800000d3 0x1036    65500
10.8.38.11      10.8.252.105    1018       0x800000d4 0x1631    65500
10.8.38.11      10.8.252.106    811        0x800000d4 0x1036    65500
10.8.38.11      10.8.252.107    546        0x800000d3 0x0c3a    65500
10.8.38.11      10.8.252.108    60         0x800000d3 0x063f    65500
10.8.39.3       10.8.252.105    1018       0x800000d4 0x5bf2    65500
10.8.39.3       10.8.252.106    811        0x800000d4 0x55f7    65500
10.8.39.3       10.8.252.107    546        0x800000d3 0x51fb    65500
10.8.39.3       10.8.252.108    60         0x800000d3 0x4b01    65500
10.8.39.4       10.8.252.105    1018       0x800000d4 0x51fb    65500
10.8.39.4       10.8.252.106    811        0x800000d4 0x4b01    65500
10.8.39.4       10.8.252.107    546        0x800000d3 0x4705    65500
10.8.39.4       10.8.252.108    60         0x800000d3 0x410a    65500
10.8.39.5       10.8.252.105    1018       0x800000d4 0x4705    65500
10.8.39.5       10.8.252.106    811        0x800000d4 0x410a    65500
10.8.39.5       10.8.252.107    546        0x800000d3 0x3d0e    65500
10.8.39.5       10.8.252.108    60         0x800000d3 0x3713    65500
10.8.39.6       10.8.252.105    1018       0x800000d4 0x3d0e    65500
10.8.39.6       10.8.252.106    811        0x800000d4 0x3713    65500
10.8.39.6       10.8.252.107    546        0x800000d3 0x3317    65500
10.8.39.6       10.8.252.108    60         0x800000d3 0x2d1c    65500
10.8.39.7       10.8.252.105    1018       0x800000d4 0x3317    65500
10.8.39.7       10.8.252.106    811        0x800000d4 0x2d1c    65500
10.8.39.7       10.8.252.107    546        0x800000d3 0x2920    65500
10.8.39.7       10.8.252.108    60         0x800000d3 0x2325    65500
10.8.39.8       10.8.252.105    1018       0x800000d4 0x2920    65500
10.8.39.8       10.8.252.106    811        0x800000d4 0x2325    65500
10.8.39.8       10.8.252.107    546        0x800000d3 0x1f29    65500
10.8.39.8       10.8.252.108    60         0x800000d3 0x192e    65500
10.8.39.9       10.8.252.105    1018       0x800000d4 0x1f29    65500
10.8.39.9       10.8.252.106    811        0x800000d4 0x192e    65500
10.8.39.9       10.8.252.107    546        0x800000d3 0x1532    65500
10.8.39.9       10.8.252.108    60         0x800000d3 0x0f37    65500
10.8.39.10      10.8.252.105    1018       0x800000d4 0x1532    65500
10.8.39.10      10.8.252.106    811        0x800000d4 0x0f37    65500
10.8.39.10      10.8.252.107    546        0x800000d3 0x0b3b    65500
10.8.39.10      10.8.252.108    60         0x800000d3 0x0540    65500
10.8.39.11      10.8.252.105    1018       0x800000d4 0x0b3b    65500
10.8.39.11      10.8.252.106    811        0x800000d4 0x0540    65500
