

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
 5702   2605056  750522150   377667584   ff952600/ff951f98  licmgr
 4056   3887104  771888198   377303040   ff95a720/ff9556ac  tacacs
 4187   3362816  1017599475  377266176   ff86bf90/ff86a1ec  l2pt
 4176   5685248  752554176   375603200   ffacca30/ffacb740  vrrp-cfg
 3908   3850240  763238784   375123968   fff76850/fff75210  vmm
 4179   2912256  755748646   375050240   ffdb8650/ffdb7620  u2
 4130   3375104  1017905856  374841344   ffc6bd00/ffc6acb0  acllog
 5846   2023424  734815628   374464512   ffa15da0/ffa14d70  clk_mgr
 3870   3235840  0           374358016   ffca3ca0/ffca3860  feature-mgr
 3874   5767168  824135276   374251520   ffcff1e0/ffcfe1c0  session-mgr
 5830   3661824  756972620   374136832   ffbf6ac0/ffbf655c  res_mgr
 4118   4988928  830671564   373735424   ffec5c10/ffec4be0  plsm
 3877   2756608  962860800   373653504   fff53ea0/fff533cc  vshd
 3900   2953216  753905856   373473280   ff8a1070/ff8a0040  evms
 3897   3481600  750792486   373194752   ff9eed60/ff9edf40  cli_acl
 3893   2777088  0           373174272   ffb2b760/ffb2a300  aaa
 3904   2310144  768396358   373014528   ffd22120/ffd21b60  sksd
 3906   4317184  753441779   372998144   ffe50570/ffe4f520  statsprofiler
 3895   2899968  0           372834304   ffc86c40/ffc857e8  securityd
 3935   2781184  1016955174  372518912   ff7ff2c0/ff7fe280  eem_policy_dir
 3869   1916928  0           371945472   ffeea860/ffeea640  confcheck
 3873   3330048  1037680371  371281920   ffc699e0/ffc695b0  psshelper
 3905   2760704  751544921   371228672   ffc8d730/ffc8c6d0  snmpmib_proc
 5843   4034560  662032166   371048448   ffaf7a70/ffaf6a10  diagmgr
 4161   2510848  772796992   370950144   ffeaeab0/ffeae700  eth_dstats
 3898   2392064  1015193484  370913280   fff9d160/fff9c140  evmc
 3902   2330624  910463699   370700288   ffc4bdc0/ffc4ab80  mvsh
 3910   2412544  1014824025  370688000   ffb5cb40/ffb5bb00  xmpp
 4070   3149824  472988876   370626560   fff1cbd0/fff18dfc  dcos-xinetd
 3909   1888256  0           370319360   ffc9ba20/ffc9b800  xmlma
 4062   2281472  0           369963008   ffff20e0/fffee31c  ntpd
 5832   4329472  734288473   368259072   ff8cac20/ff8c9be0  pltfm_debug
 5703   1286144  0           367165440   ffe530a0/ffe52830  fs-daemon
 5831   2936832  659653209   359395328   ffd2c0b0/ffd2b07c  plugin
 5825   6991872  752525593   283172864   ffc69120/ffc68f8c  sysinfo
 3901    442368  0           277405696   ffbfa9c0/ffbfa590  mping_server
 4016    434176  658366438   276525056   ffb53810/ffb53458  ip_dummy
 4017    434176  658366438   276525056   ffb7d000/ffb7cc48  ipv6_dummy
 4023    434176  658366438   276525056   ff9ed510/ff9ed158  tcpudp_dummy
 3880    425984  776329382   7868416     ffe5cd20/ffe5cc48  klogd

All processes: MemAlloc = 1925885952
