

PID    MemAlloc  MemLimit    MemUsed     StackBase/Ptr      Process
 7598   3891200  987263270   345931776   ff9de6f0/ffffffff  smm
 7818   3334144  986100825   345890816   ffbd1e60/ffffffff  acllog
 7782   2850816  822605696   345829376   ffadbbe0/ffffffff  callhome
 7597   5812224  792564537   345714688   ffbb6f30/ffffffff  session-mgr
 6154   3665920  755021696   345628672   fff25fd0/ffffffff  res_mgr
 7875   2732032  723254259   345624576   ff8bd160/ffffffff  u2
 7806   5197824  799235993   345366528   fff8c9a0/ffffffff  plsm
 7594   3092480  0           345300992   fff7c210/ffffffff  feature-mgr
 7619   3698688  719861542   344903680   ffbb1a90/ffffffff  cli_acl
 7622   2965504  722488307   344813568   ffeba580/ffffffff  evms
 7615   2727936  0           344690688   ffba3e30/ffffffff  aaa
 7628   4411392  722245004   344592384   ffc27e10/ffffffff  statsprofiler
 7815   3162112  985339379   344424448   ffd74eb0/ffffffff  ecp
 7617   2883584  0           344240128   ffec9eb0/ffffffff  securityd
 7600   3080192  929510348   344096768   ffef2390/ffffffff  vshd
 7646   2871296  985452019   343969792   ffcc94a0/ffffffff  eem_policy_dir
 6098   2117632  703510720   343953408   ffcd1f40/ffffffff  licmgr
 7626   1830912  736460665   343945216   ffed5530/ffffffff  sksd
 6156   4816896  704673164   343748608   ffda5aa0/ffffffff  pltfm_debug
 7593   2002944  0           343449600   ffe65350/ffffffff  confcheck
 7596   3325952  1006519641  342994944   ff8b8710/ffffffff  psshelper
 7627   2756608  720181440   342716416   ff9be9b0/ffffffff  snmpmib_proc
 6099   1896448  0           342642688   ffb120f0/ffffffff  fs-daemon
 7855   2613248  741559667   342552576   ffefb240/ffffffff  eth_dstats
 7620   2404352  983861542   342433792   ff8031e0/ffffffff  evmc
 7632   2506752  983586700   342278144   ffea7f50/ffffffff  xmpp
 7624   2330624  879158790   342241280   ffab2da0/ffffffff  mvsh
 7776   3129344  472988876   342188032   ff8028d0/ffffffff  dcos-xinetd
 7631   1716224  0           341565440   ffeef5d0/ffffffff  xmlma
 7777   2260992  0           341422080   ff876290/ffffffff  ntpd
 6155   1986560  657499532   331395072   ffecbc00/ffffffff  plugin
 6149   6103040  750223232   281247744   fffb7960/ffffffff  sysinfo
 7623    348160  0           276267008   ffccd040/ffffffff  mping_server
 7734    331776  657127398   275398656   ff801b00/ffffffff  ip_dummy
 7735    331776  657127398   275398656   ffa1bb30/ffffffff  ipv6_dummy
 7740    331776  657127398   275398656   ff96f020/ffffffff  tcpudp_dummy

All processes: MemAlloc = 1693843456
