
 Note: MAC table entries displayed are getting read from software.
 Use the 'hardware-age' keyword to get information related to 'Age' 

 Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False ,  ~~~ - use 'hardware-age' keyword to retrieve age info 
   VLAN     MAC Address      Type      age     Secure NTFY Ports/SWID.SSID.LID
---------+-----------------+--------+---------+------+----+------------------
* 586      506b.8d3c.f3a8    dynamic     ~~~      F    F  Po71
* 586      506b.8d42.1960    dynamic     ~~~      F    F  Po71
* 586      506b.8d42.a59e    dynamic     ~~~      F    F  Po71
* 586      506b.8d49.a315    dynamic     ~~~      F    F  Po71
* 586      506b.8d4c.20b2    dynamic     ~~~      F    F  Po71
* 586      506b.8d4c.98f3    dynamic     ~~~      F    F  Po71
* 586      506b.8d55.18ac    dynamic     ~~~      F    F  Po71
* 586      506b.8d5a.2182    dynamic     ~~~      F    F  Po71
* 586      506b.8d62.4529    dynamic     ~~~      F    F  Po71
* 586      506b.8d6a.5947    dynamic     ~~~      F    F  Po71
* 586      506b.8d77.5621    dynamic     ~~~      F    F  Po71
* 586      506b.8d80.d666    dynamic     ~~~      F    F  Po71
* 586      506b.8d81.22e8    dynamic     ~~~      F    F  Po71
* 586      506b.8d81.dac7    dynamic     ~~~      F    F  Po71
* 586      506b.8d82.4c30    dynamic     ~~~      F    F  Po71
* 586      506b.8d82.9333    dynamic     ~~~      F    F  Po71
* 586      506b.8d83.e8a0    dynamic     ~~~      F    F  Po71
* 586      506b.8d84.c6bc    dynamic     ~~~      F    F  Po71
* 586      506b.8d85.02a8    dynamic     ~~~      F    F  Po71
* 586      506b.8d85.a2b1    dynamic     ~~~      F    F  Po71
* 586      506b.8d87.0961    dynamic     ~~~      F    F  Po71
* 586      506b.8d87.bc8e    dynamic     ~~~      F    F  Po71
* 586      506b.8d88.3780    dynamic     ~~~      F    F  Po71
* 586      506b.8d88.7de7    dynamic     ~~~      F    F  Po71
* 586      506b.8d88.a4f2    dynamic     ~~~      F    F  Po71
