

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/31       1,10,107,110,129,139,145,167-169,171-172,174-180,182-184,187-191,193-194,199,293-295,701-702,708-709,796,3000,3006,3112-3115,3117-3118,3120-3121,3123,3128,3130-3131,3133,3136-3141,3143-3145,3147-3154,3156,3161-3162,3169-3170,3178,3180-3181,3183-3184,3198-3199,3203-3204,3300-3307,3318,3414,3428,3434,3555-3556,3598,3628,3630,3636,3642,3850,3867,3950,3952-3954
Eth1/32       1,10,107,110,129,139,145,167-169,171-172,174-180,182-184,187-191,193-194,199,293-295,701-702,708-709,796,3000,3006,3112-3115,3117-3118,3120-3121,3123,3128,3130-3131,3133,3136-3141,3143-3145,3147-3154,3156,3161-3162,3169-3170,3178,3180-3181,3183-3184,3198-3199,3203-3204,3300-3307,3318,3414,3428,3434,3555-3556,3598,3628,3630,3636,3642,3850,3867,3950,3952-3954
Eth2/1        1,10,107,110,129,139,145,167-169,171-172,174-180,182-184,187-191,193-194,199,293-295,701-702,708-709,796,3000,3006,3112-3115,3117-3118,3120-3121,3123,3128,3130-3131,3133,3136-3141,3143-3145,3147-3154,3156,3161-3162,3169-3170,3178,3180-3181,3183-3184,3198-3199,3203-3204,3300-3307,3318,3414,3428,3434,3555-3556,3598,3628,3630,3636,3642,3850,3867,3950,3952-3954
Eth2/2        1,10,107,110,129,139,145,167-169,171-172,174-180,182-184,187-191,193-194,199,293-295,701-702,708-709,796,3000,3006,3112-3115,3117-3118,3120-3121,3123,3128,3130-3131,3133,3136-3141,3143-3145,3147-3154,3156,3161-3162,3169-3170,3178,3180-3181,3183-3184,3198-3199,3203-3204,3300-3307,3318,3414,3428,3434,3555-3556,3598,3628,3630,3636,3642,3850,3867,3950,3952-3954
Eth2/3        1,10,107,110,129,139,145,167-169,171-172,174-180,182-184,187-191,193-194,199,293-295,701-702,708-709,796,3000,3112-3115,3117-3118,3120-3121,3123,3128,3130-3131,3133,3136-3141,3143-3145,3147-3154,3156,3161-3162,3169-3170,3178,3180-3181,3183-3184,3198-3199,3203-3204,3300-3307,3318,3414,3428,3434,3555-3556,3598,3628,3630,3636,3642,3850,3867,3950,3952-3954
Eth2/4        3006
Eth2/9        3555-3556,3952-3953
Eth2/10       3555-3556,3952-3953
Eth2/11       3555-3556,3952-3953
Eth2/12       3555-3556,3952-3953
Eth2/13       3555-3556,3952-3953
Eth2/14       3555-3556,3952-3953
Po7           1,10,107,110,129,139,145,167-169,171-172,174-180,182-184,187-191,193-194,199,293-295,701-702,708-709,796,3000,3006,3112-3115,3117-3118,3120-3121,3123,3128,3130-3131,3133,3136-3141,3143-3145,3147-3154,3156,3161-3162,3169-3170,3178,3180-3181,3183-3184,3198-3199,3203-3204,3300-3307,3318,3414,3428,3434,3555-3556,3598,3628,3630,3636,3642,3850,3867,3950,3952-3954
Po201         110,169,174,188,190,194,3130,3133
Po202         110,169,174,190,194
Po203         110,169,178,184,190,194
Po204         110,169,178,184,190,194
