
VPC Role: Secondary
VPC Peer-Link Status: Up

Interface      Orphan Port        Orphan-port   
               Suspend-config     Status        
------------   ----------------   -------------
Eth108/1/31       -                 Up   
Eth108/1/32       -                 Up   
Eth108/1/33       -                 Up   
Eth108/1/34       -                 Up   
Eth108/1/35       -                 Up   
Eth108/1/36       -                 Down 
Eth108/1/37       -                 Down 
Eth108/1/38       -                 Down 
Eth108/1/39       -                 Down 
Eth108/1/40       -                 Down 
Eth108/1/41       -                 Down 
Eth108/1/42       -                 Down 
Eth108/1/43       -                 Down 
Eth108/1/44       -                 Down 
Eth108/1/45       -                 Down 
Eth108/1/46       -                 Down 
Eth108/1/47       -                 Down 
Eth108/1/48       -                 Down 
Eth114/1/7        -                 Down 
Eth114/1/8        -                 Down 
Eth114/1/9        -                 Down 
Eth114/1/10       -                 Down 
Eth114/1/11       -                 Down 
Eth114/1/12       -                 Down 
Eth114/1/13       -                 Down 
Eth114/1/14       -                 Down 
Eth114/1/15       -                 Down 
Eth114/1/16       -                 Down 
Eth114/1/17       -                 Down 
Eth114/1/18       -                 Down 
Eth114/1/19       -                 Down 
Eth114/1/20       -                 Down 
Eth114/1/21       -                 Down 
Eth114/1/22       -                 Down 
Eth114/1/23       -                 Down 
Eth114/1/24       -                 Down 
Eth114/1/25       -                 Down 
Eth114/1/26       -                 Down 
Eth114/1/27       -                 Down 
Eth114/1/28       -                 Down 
Eth114/1/29       -                 Down 
Eth114/1/30       -                 Down 
Eth114/1/31       -                 Down 
Eth114/1/32       -                 Down 
