
  FEX         FEX           FEX              FEX              Fex       
Number    Description      State            Model            Serial     
------------------------------------------------------------------------
101     vN2K10-101                Online   N2K-C2348UPQ-10GE   FOC2024R052
103     vN2K10-103                Online   N2K-C2348UPQ-10GE   FOC2028R1LW
105  vN2K10-105 660c15GBI                Online         N2K-B22HP-P   FOC2039R11Z
107  vN2K10-107 460c25GBI                Online         N2K-B22HP-P   FOC2045R0HK
109  vN2K10-109 460c25GBI                Online         N2K-B22HP-P   FOC2045R0HJ
111  vN2K10-111 660c15GBJ                Online         N2K-B22HP-P   FOC2044R16X
113        FEX0113                Online         N2K-B22HP-P   FOC2244R0FN
115        FEX0115                Online         N2K-B22HP-P   FOC2244R0FX
