
 OSPF Process ID 1 VRF default
 Total number of neighbors: 11
 Neighbor ID     Pri State            Up Time  Address         Interface
 10.8.252.3        1 FULL/ -          1y35w    10.8.255.85     Eth3/1 
 10.8.252.1        1 FULL/ -          1w1d     10.8.255.105    Eth3/2 
 10.8.252.66       1 FULL/ -          4y30w    10.8.10.42      Eth3/6 
 10.8.252.4        1 FULL/ -          1y34w    10.8.255.93     Eth4/1 
 10.8.252.2        1 FULL/ -          2w3d     10.8.255.113    Eth4/2 
 10.8.252.89       1 FULL/ -          1y12w    10.8.10.70      Eth4/7 
 10.8.252.49       1 FULL/ -          4y4w     10.8.255.97     Po21 
 10.8.252.51       1 FULL/ -          4y4w     10.8.10.26      Po23 
 10.8.252.52       1 FULL/ -          4y36w    10.8.10.30      Po24 
 10.8.252.86       1 FULL/ -          2y6w     10.8.10.54      Po9 
 10.8.252.87       1 FULL/ -          2y6w     10.8.10.58      Po10 
