

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
 4708          437  2433782327      0    0.0%  stp
 4709         2255     94456     23    0.0%  dcos-xinetd
 4713           61        30   2060    0.0%  mcastfwd
 4722          415  807403383      0    0.0%  ntpd
 4912          701  13496304      0    0.0%  wdpunch_thread
 5374         1935  206513382      0    0.0%  tacacs
 5377          624  624907095      0    0.0%  udld
 5379         1214  164069400      0    0.0%  interface-vlan
 5381          207  533260983      0    0.0%  lacp
 5383          740  1385690790      0    0.0%  vpc
 5385         1793  2768701051      0    0.0%  fex
 7513          750   9341863      0    0.0%  pdflush
 7665           11       808     13    0.0%  lmreread
 7666          931  36040637      0    0.0%  btcm
 7669         1978  37182466      0    0.0%  ipfib
 7670          939  28203930      0    0.0%  mfdm
 7671          282  26075411      0    0.0%  ufdm
13797            5        21    274    0.0%  getty
15000          608      9873     61    0.0%  dcos_sshd
15017         1018       422   2413    0.0%  vsh
15412            1         5    201    0.0%  vsh
15413           16         6   2807    0.0%  ps
26070           28      1108     25    0.0%  klogd

CPU util  :   0.0% user,   6.4% kernel,   93.6% idle
